东方航空, MU9246, 空客A320, 西安, 2024-12-02 07:16, 柏林, 2024-12-02 15:29, 7622.0, 178
澳洲航空, QF5027, 波音787, 悉尼, 2024-12-02 06:14, 拉萨, 2024-12-02 16:14, 9270.0, 80
美联航, UA7154, 波音737, 纽约, 2024-12-02 08:16, 伦敦, 2024-12-02 14:29, 5768.0, 83
汉莎航空, LH7698, 空客A350, 柏林, 2024-12-02 16:35, 纽约, 2024-12-02 23:55, 6798.0, 123
全日空, NH3001, 波音777, 上海, 2024-12-02 05:59, 柏林, 2024-12-02 15:25, 8755.0, 63
海南航空, HU7482, 波音737, 成都, 2024-12-02 16:28, 上海, 2024-12-02 18:21, 1751.0, 85
澳洲航空, QF5847, 空客A330, 悉尼, 2024-12-02 05:29, 成都, 2024-12-02 14:22, 8240.0, 193
英国航空, BA6695, 波音777, 东京, 2024-12-02 04:50, 广州, 2024-12-02 07:56, 2884.0, 179
南方航空, CZ5625, 空客A330, 昆明, 2024-12-02 02:25, 纽约, 2024-12-02 15:18, 11948.0, 35
美联航, UA9945, 波音737, 东京, 2024-12-02 21:46, 首尔, 2024-12-02 23:06, 1236.0, 81
南方航空, CZ4007, 空客A350, 昆明, 2024-12-02 00:17, 哈尔滨, 2024-12-02 03:37, 3090.0, 159
英国航空, BA2054, 波音777, 东京, 2024-12-02 09:38, 伦敦, 2024-12-02 20:11, 9785.0, 99
英国航空, BA3494, 波音787, 伦敦, 2024-12-02 05:53, 广州, 2024-12-02 16:13, 9579.0, 143
东方航空, MU5483, 波音787, 成都, 2024-12-02 16:34, 东京, 2024-12-02 20:00, 3193.0, 36
澳洲航空, QF5320, 波音777, 东京, 2024-12-02 17:57, 成都, 2024-12-02 21:23, 3193.0, 7
美联航, UA5764, 波音787, 洛杉矶, 2024-12-02 08:07, 纽约, 2024-12-02 12:27, 4017.0, 23
中国国际航空, CA5513, 空客A350, 呼和浩特, 2024-12-02 10:32, 上海, 2024-12-02 12:12, 1545.0, 123
东方航空, MU4178, 波音777, 合肥, 2024-12-02 12:41, 伦敦, 2024-12-02 22:27, 9064.0, 8
东方航空, MU5599, 波音787, 南宁, 2024-12-02 08:21, 柏林, 2024-12-02 18:07, 9064.0, 174
海南航空, HU7497, 空客A330, 西安, 2024-12-02 20:25, 拉萨, 2024-12-02 22:11, 1648.0, 106
澳洲航空, QF5542, 波音787, 悉尼, 2024-12-02 05:34, 呼和浩特, 2024-12-02 15:54, 9579.0, 166
中国国际航空, CA8938, 空客A350, 呼和浩特, 2024-12-02 14:20, 南宁, 2024-12-02 17:20, 2781.0, 88
俄罗斯航空, SU9726, 波音777, 莫斯科, 2024-12-02 16:12, 上海, 2024-12-02 23:52, 7107.0, 152
汉莎航空, LH5547, 波音787, 柏林, 2024-12-02 11:12, 昆明, 2024-12-02 20:12, 8343.0, 82
俄罗斯航空, SU2113, 空客A350, 莫斯科, 2024-12-02 00:30, 曼谷, 2024-12-02 08:16, 7210.0, 194
泰国航空, TG3041, 波音777, 曼谷, 2024-12-02 02:22, 悉尼, 2024-12-02 10:42, 7725.0, 169
澳洲航空, QF8655, 空客A350, 悉尼, 2024-12-02 11:53, 上海, 2024-12-02 20:46, 8240.0, 92
俄罗斯航空, SU9776, 波音777, 莫斯科, 2024-12-02 10:27, 曼谷, 2024-12-02 18:13, 7210.0, 67
泰国航空, TG8785, 空客A330, 广州, 2024-12-02 20:09, 哈尔滨, 2024-12-02 23:42, 3296.0, 134
俄罗斯航空, SU1531, 空客A330, 莫斯科, 2024-12-02 11:29, 东京, 2024-12-02 19:49, 7725.0, 49
汉莎航空, LH7872, 波音777, 柏林, 2024-12-02 09:40, 广州, 2024-12-02 19:13, 8858.0, 143
澳洲航空, QF1347, 空客A320, 上海, 2024-12-02 02:22, 曼谷, 2024-12-02 05:22, 2781.0, 108
东方航空, MU8008, 空客A320, 南宁, 2024-12-02 09:24, 西安, 2024-12-02 11:24, 1854.0, 152
汉莎航空, LH5555, 空客A320, 柏林, 2024-12-02 10:55, 东京, 2024-12-02 20:48, 9167.0, 19
法国航空, AF7943, 波音777, 巴黎, 2024-12-02 06:17, 昆明, 2024-12-02 16:17, 9270.0, 125
中国国际航空, CA2355, 空客A320, 呼和浩特, 2024-12-02 02:45, 洛杉矶, 2024-12-02 13:25, 9888.0, 101
美联航, UA8229, 波音787, 上海, 2024-12-02 14:17, 首尔, 2024-12-02 15:17, 927.0, 101
中国国际航空, CA8013, 空客A320, 昆明, 2024-12-02 21:27, 西安, 2024-12-02 23:00, 1442.0, 178
南方航空, CZ6903, 波音737, 乌鲁木齐, 2024-12-02 09:42, 东京, 2024-12-02 14:28, 4429.0, 151
俄罗斯航空, SU8648, 波音777, 莫斯科, 2024-12-02 02:01, 呼和浩特, 2024-12-02 08:01, 5562.0, 170
汉莎航空, LH5487, 波音777, 柏林, 2024-12-02 12:40, 东京, 2024-12-02 22:33, 9167.0, 187
汉莎航空, LH1439, 波音777, 上海, 2024-12-02 00:50, 柏林, 2024-12-02 10:16, 8755.0, 114
东方航空, MU9263, 空客A350, 南宁, 2024-12-02 07:30, 东京, 2024-12-02 11:10, 3399.0, 89
英国航空, BA9617, 波音787, 伦敦, 2024-12-02 07:39, 东京, 2024-12-02 18:12, 9785.0, 116
英国航空, BA8400, 空客A350, 上海, 2024-12-02 20:45, 哈尔滨, 2024-12-02 22:58, 2060.0, 156
英国航空, BA4865, 空客A330, 伦敦, 2024-12-02 02:13, 拉萨, 2024-12-02 10:33, 7725.0, 136
泰国航空, TG2557, 波音737, 曼谷, 2024-12-02 10:48, 伦敦, 2024-12-02 21:21, 9785.0, 84
全日空, NH2441, 波音777, 广州, 2024-12-02 02:25, 首尔, 2024-12-02 04:38, 2060.0, 93
南方航空, CZ8340, 波音737, 昆明, 2024-12-02 17:15, 哈尔滨, 2024-12-02 20:35, 3090.0, 167
大韩航空, KE3550, 空客A350, 首尔, 2024-12-02 05:38, 西安, 2024-12-02 07:38, 1854.0, 74
美联航, UA4104, 空客A350, 洛杉矶, 2024-12-02 05:29, 上海, 2024-12-02 16:35, 10300.0, 197
中国国际航空, CA5697, 空客A320, 昆明, 2024-12-02 05:40, 哈尔滨, 2024-12-02 09:00, 3090.0, 22
俄罗斯航空, SU8120, 波音737, 莫斯科, 2024-12-02 15:34, 西安, 2024-12-02 23:00, 6901.0, 172
东方航空, MU1404, 波音737, 昆明, 2024-12-02 13:43, 曼谷, 2024-12-02 14:49, 1030.0, 190
法国航空, AF2111, 波音737, 东京, 2024-12-02 12:13, 广州, 2024-12-02 15:19, 2884.0, 193
东方航空, MU9936, 空客A320, 昆明, 2024-12-02 06:56, 巴黎, 2024-12-02 16:56, 9270.0, 167
汉莎航空, LH2793, 空客A330, 柏林, 2024-12-02 01:18, 悉尼, 2024-12-02 19:18, 16686.0, 191
南方航空, CZ1677, 波音737, 南宁, 2024-12-02 15:06, 拉萨, 2024-12-02 17:19, 2060.0, 71
泰国航空, TG6606, 波音787, 上海, 2024-12-02 05:29, 成都, 2024-12-02 07:22, 1751.0, 64
泰国航空, TG8745, 空客A350, 曼谷, 2024-12-02 03:09, 成都, 2024-12-02 05:22, 2060.0, 16
中国国际航空, CA8365, 空客A350, 成都, 2024-12-02 19:07, 首尔, 2024-12-02 21:40, 2369.0, 186
中国国际航空, CA4261, 空客A350, 成都, 2024-12-02 09:49, 纽约, 2024-12-02 22:02, 11330.0, 151
泰国航空, TG5099, 波音787, 曼谷, 2024-12-02 00:07, 拉萨, 2024-12-02 02:53, 2575.0, 179
海南航空, HU9541, 空客A350, 西安, 2024-12-02 01:13, 昆明, 2024-12-02 02:46, 1442.0, 123
东方航空, MU5011, 波音787, 合肥, 2024-12-02 06:37, 伦敦, 2024-12-02 16:23, 9064.0, 116
全日空, NH4051, 空客A350, 北京, 2024-12-02 03:20, 合肥, 2024-12-02 04:26, 1030.0, 5
英国航空, BA6727, 波音777, 伦敦, 2024-12-02 12:43, 巴黎, 2024-12-02 13:06, 360.5, 51
汉莎航空, LH7839, 空客A330, 柏林, 2024-12-02 05:19, 纽约, 2024-12-02 12:39, 6798.0, 158
美联航, UA6557, 空客A330, 纽约, 2024-12-02 01:05, 首尔, 2024-12-02 13:18, 11330.0, 16
中国国际航空, CA1241, 波音737, 昆明, 2024-12-02 08:13, 合肥, 2024-12-02 09:59, 1648.0, 94
美联航, UA8328, 空客A320, 纽约, 2024-12-02 02:50, 广州, 2024-12-02 16:16, 12463.0, 144
汉莎航空, LH5871, 空客A320, 柏林, 2024-12-02 05:43, 曼谷, 2024-12-02 15:36, 9167.0, 148
南方航空, CZ4938, 波音787, 乌鲁木齐, 2024-12-02 18:54, 上海, 2024-12-02 22:34, 3399.0, 23
南方航空, CZ1705, 波音737, 昆明, 2024-12-02 01:18, 巴黎, 2024-12-02 11:18, 9270.0, 171
东方航空, MU4700, 波音737, 昆明, 2024-12-02 07:40, 巴黎, 2024-12-02 17:40, 9270.0, 177
中国国际航空, CA6406, 空客A320, 昆明, 2024-12-02 14:37, 乌鲁木齐, 2024-12-02 17:57, 3090.0, 79
美联航, UA1730, 波音787, 纽约, 2024-12-02 11:20, 哈尔滨, 2024-12-02 22:46, 10609.0, 60
南方航空, CZ5231, 波音777, 广州, 2024-12-02 14:21, 首尔, 2024-12-02 16:34, 2060.0, 183
南方航空, CZ2569, 波音787, 乌鲁木齐, 2024-12-02 04:08, 哈尔滨, 2024-12-02 07:48, 3399.0, 90
俄罗斯航空, SU4990, 空客A320, 莫斯科, 2024-12-02 08:34, 东京, 2024-12-02 16:54, 7725.0, 175
中国国际航空, CA9289, 空客A320, 哈尔滨, 2024-12-02 10:13, 昆明, 2024-12-02 13:33, 3090.0, 81
中国国际航空, CA4157, 波音737, 哈尔滨, 2024-12-02 18:39, 成都, 2024-12-02 21:32, 2678.0, 82
英国航空, BA8930, 空客A320, 伦敦, 2024-12-02 08:28, 曼谷, 2024-12-02 19:01, 9785.0, 76
海南航空, HU6846, 波音787, 成都, 2024-12-02 07:06, 悉尼, 2024-12-02 15:59, 8240.0, 184
南方航空, CZ5427, 波音777, 乌鲁木齐, 2024-12-02 07:36, 呼和浩特, 2024-12-02 09:36, 1854.0, 44
美联航, UA7344, 空客A320, 纽约, 2024-12-02 06:15, 呼和浩特, 2024-12-02 18:01, 10918.0, 151
美联航, UA2570, 波音787, 洛杉矶, 2024-12-02 10:29, 西安, 2024-12-02 21:29, 10197.0, 16
法国航空, AF9834, 空客A330, 巴黎, 2024-12-02 11:48, 纽约, 2024-12-02 18:14, 5974.0, 66
东方航空, MU2908, 空客A320, 合肥, 2024-12-02 14:35, 莫斯科, 2024-12-02 21:48, 6695.0, 165
全日空, NH2894, 波音787, 北京, 2024-12-02 09:48, 首尔, 2024-12-02 10:51, 978.5, 49
中国国际航空, CA4395, 波音777, 哈尔滨, 2024-12-02 12:30, 成都, 2024-12-02 15:23, 2678.0, 66
南方航空, CZ9782, 波音777, 南宁, 2024-12-02 20:52, 合肥, 2024-12-02 22:32, 1545.0, 191
泰国航空, TG8482, 空客A320, 曼谷, 2024-12-02 16:55, 哈尔滨, 2024-12-02 21:48, 4532.0, 91
英国航空, BA6320, 空客A320, 上海, 2024-12-02 06:00, 合肥, 2024-12-02 06:26, 412.0, 38
海南航空, HU5059, 空客A330, 西安, 2024-12-02 08:27, 曼谷, 2024-12-02 11:33, 2884.0, 149
澳洲航空, QF9489, 波音777, 东京, 2024-12-02 05:55, 北京, 2024-12-02 08:15, 2163.0, 181
东方航空, MU3180, 空客A330, 上海, 2024-12-02 18:44, 乌鲁木齐, 2024-12-02 22:24, 3399.0, 76
南方航空, CZ2721, 空客A330, 昆明, 2024-12-02 09:01, 伦敦, 2024-12-02 18:47, 9064.0, 68
东方航空, MU6228, 波音777, 广州, 2024-12-02 07:36, 曼谷, 2024-12-02 09:16, 1545.0, 56
中国国际航空, CA1167, 空客A350, 广州, 2024-12-02 00:55, 悉尼, 2024-12-02 09:15, 7725.0, 125
汉莎航空, LH1157, 空客A350, 柏林, 2024-12-02 06:24, 上海, 2024-12-02 15:50, 8755.0, 144
澳洲航空, QF5298, 空客A330, 悉尼, 2024-12-02 13:24, 曼谷, 2024-12-02 21:44, 7725.0, 193
南方航空, CZ8890, 波音787, 南宁, 2024-12-02 05:31, 乌鲁木齐, 2024-12-02 09:57, 4120.0, 89
大韩航空, KE9268, 空客A330, 首尔, 2024-12-02 07:57, 西安, 2024-12-02 09:57, 1854.0, 154
美联航, UA4278, 空客A320, 洛杉矶, 2024-12-02 11:43, 合肥, 2024-12-02 23:29, 10918.0, 132
大韩航空, KE9570, 波音777, 广州, 2024-12-02 10:19, 东京, 2024-12-02 13:25, 2884.0, 4
澳洲航空, QF6077, 空客A330, 悉尼, 2024-12-02 07:33, 哈尔滨, 2024-12-02 18:06, 9785.0, 125
全日空, NH6919, 空客A320, 上海, 2024-12-02 10:26, 曼谷, 2024-12-02 13:26, 2781.0, 104
中国国际航空, CA6856, 波音737, 西安, 2024-12-02 14:35, 呼和浩特, 2024-12-02 15:25, 772.5, 89
东方航空, MU7960, 空客A320, 成都, 2024-12-02 03:44, 哈尔滨, 2024-12-02 06:37, 2678.0, 13
澳洲航空, QF1118, 波音737, 东京, 2024-12-02 05:22, 上海, 2024-12-02 07:22, 1854.0, 124
美联航, UA9831, 空客A320, 纽约, 2024-12-02 04:53, 呼和浩特, 2024-12-02 16:39, 10918.0, 93
大韩航空, KE7023, 空客A320, 首尔, 2024-12-02 07:52, 莫斯科, 2024-12-02 15:12, 6798.0, 178
南方航空, CZ7720, 空客A330, 昆明, 2024-12-02 04:36, 北京, 2024-12-02 06:42, 1957.0, 150
美联航, UA4666, 波音777, 洛杉矶, 2024-12-02 07:40, 巴黎, 2024-12-02 17:46, 9373.0, 25
美联航, UA9598, 空客A320, 洛杉矶, 2024-12-02 10:23, 成都, 2024-12-02 21:29, 10300.0, 157
汉莎航空, LH7750, 空客A350, 柏林, 2024-12-02 06:34, 成都, 2024-12-02 14:54, 7725.0, 69
法国航空, AF6472, 波音737, 东京, 2024-12-02 06:05, 洛杉矶, 2024-12-02 15:51, 9064.0, 133
东方航空, MU8073, 波音787, 昆明, 2024-12-02 10:23, 伦敦, 2024-12-02 20:09, 9064.0, 38
俄罗斯航空, SU5379, 波音787, 莫斯科, 2024-12-02 12:17, 呼和浩特, 2024-12-02 18:17, 5562.0, 82
东方航空, MU6358, 波音787, 合肥, 2024-12-02 14:04, 莫斯科, 2024-12-02 21:17, 6695.0, 81
俄罗斯航空, SU9705, 空客A350, 上海, 2024-12-02 01:55, 合肥, 2024-12-02 02:21, 412.0, 28
泰国航空, TG3993, 波音787, 曼谷, 2024-12-02 18:09, 昆明, 2024-12-02 19:15, 1030.0, 72
美联航, UA3358, 空客A320, 纽约, 2024-12-02 05:38, 莫斯科, 2024-12-02 13:58, 7725.0, 106
汉莎航空, LH9971, 空客A330, 柏林, 2024-12-02 01:55, 乌鲁木齐, 2024-12-02 07:48, 5459.0, 8
澳洲航空, QF5895, 波音737, 悉尼, 2024-12-02 08:03, 呼和浩特, 2024-12-02 18:23, 9579.0, 141
中国国际航空, CA2339, 波音737, 成都, 2024-12-02 11:41, 呼和浩特, 2024-12-02 13:27, 1648.0, 7
俄罗斯航空, SU9111, 波音787, 莫斯科, 2024-12-02 05:18, 上海, 2024-12-02 12:58, 7107.0, 113
中国国际航空, CA4021, 空客A330, 北京, 2024-12-02 08:45, 首尔, 2024-12-02 09:48, 978.5, 42
全日空, NH3155, 波音787, 东京, 2024-12-02 10:25, 柏林, 2024-12-02 20:18, 9167.0, 10
中国国际航空, CA3392, 波音777, 西安, 2024-12-02 09:47, 昆明, 2024-12-02 11:20, 1442.0, 147
美联航, UA8464, 波音787, 纽约, 2024-12-02 02:57, 北京, 2024-12-02 15:10, 11330.0, 48
东方航空, MU6208, 空客A320, 合肥, 2024-12-02 00:08, 纽约, 2024-12-02 13:01, 11948.0, 6
澳洲航空, QF2770, 波音737, 悉尼, 2024-12-02 08:41, 南宁, 2024-12-02 16:27, 7210.0, 174
南方航空, CZ8706, 波音787, 南宁, 2024-12-02 11:28, 首尔, 2024-12-02 14:14, 2575.0, 11
泰国航空, TG1888, 波音787, 曼谷, 2024-12-02 10:35, 伦敦, 2024-12-02 21:08, 9785.0, 185
大韩航空, KE8615, 波音737, 首尔, 2024-12-02 18:00, 哈尔滨, 2024-12-02 19:03, 978.5, 113
俄罗斯航空, SU6800, 波音777, 莫斯科, 2024-12-02 10:10, 曼谷, 2024-12-02 17:56, 7210.0, 109
南方航空, CZ9912, 波音787, 昆明, 2024-12-02 13:58, 悉尼, 2024-12-02 21:44, 7210.0, 194
澳洲航空, QF4865, 波音787, 上海, 2024-12-02 15:55, 哈尔滨, 2024-12-02 18:08, 2060.0, 31
法国航空, AF7293, 空客A330, 巴黎, 2024-12-02 04:35, 成都, 2024-12-02 13:55, 8652.0, 121
法国航空, AF6400, 波音737, 巴黎, 2024-12-02 14:01, 成都, 2024-12-02 23:21, 8652.0, 57
俄罗斯航空, SU5283, 波音787, 莫斯科, 2024-12-02 02:44, 呼和浩特, 2024-12-02 08:44, 5562.0, 179
全日空, NH8997, 空客A330, 上海, 2024-12-02 08:16, 悉尼, 2024-12-02 17:09, 8240.0, 80
英国航空, BA6375, 波音737, 东京, 2024-12-02 01:56, 曼谷, 2024-12-02 06:56, 4635.0, 107
俄罗斯航空, SU1992, 波音737, 莫斯科, 2024-12-02 15:50, 伦敦, 2024-12-02 18:36, 2575.0, 101
汉莎航空, LH7115, 波音777, 柏林, 2024-12-02 01:45, 南宁, 2024-12-02 11:31, 9064.0, 170
海南航空, HU6518, 空客A320, 广州, 2024-12-02 08:29, 巴黎, 2024-12-02 19:02, 9785.0, 165
俄罗斯航空, SU8447, 波音787, 莫斯科, 2024-12-02 18:38, 柏林, 2024-12-02 20:24, 1648.0, 75
东方航空, MU1951, 空客A320, 昆明, 2024-12-02 18:01, 南宁, 2024-12-02 18:54, 824.0, 56
澳洲航空, QF9731, 空客A330, 悉尼, 2024-12-02 01:35, 西安, 2024-12-02 11:01, 8755.0, 90
汉莎航空, LH8941, 波音787, 柏林, 2024-12-02 09:07, 成都, 2024-12-02 17:27, 7725.0, 108
全日空, NH1558, 空客A350, 东京, 2024-12-02 03:11, 拉萨, 2024-12-02 07:44, 4223.0, 170
泰国航空, TG6879, 波音787, 曼谷, 2024-12-02 11:43, 柏林, 2024-12-02 21:36, 9167.0, 56
美联航, UA5183, 波音777, 纽约, 2024-12-02 10:51, 昆明, 2024-12-02 23:44, 11948.0, 63
南方航空, CZ1538, 空客A320, 昆明, 2024-12-02 01:59, 莫斯科, 2024-12-02 10:12, 7622.0, 31
美联航, UA8959, 空客A350, 北京, 2024-12-02 14:31, 哈尔滨, 2024-12-02 15:44, 1133.0, 165
英国航空, BA9346, 空客A330, 伦敦, 2024-12-02 10:59, 上海, 2024-12-02 21:12, 9476.0, 172
中国国际航空, CA5123, 波音787, 呼和浩特, 2024-12-02 11:55, 合肥, 2024-12-02 13:28, 1442.0, 10
中国国际航空, CA3795, 波音777, 呼和浩特, 2024-12-02 17:45, 上海, 2024-12-02 19:25, 1545.0, 2
大韩航空, KE4929, 空客A330, 首尔, 2024-12-02 09:24, 哈尔滨, 2024-12-02 10:27, 978.5, 89
美联航, UA5303, 波音737, 洛杉矶, 2024-12-02 07:19, 广州, 2024-12-02 19:39, 11433.0, 38
海南航空, HU5887, 波音787, 广州, 2024-12-02 18:14, 东京, 2024-12-02 21:20, 2884.0, 17
汉莎航空, LH3641, 波音787, 柏林, 2024-12-02 01:47, 合肥, 2024-12-02 10:47, 8343.0, 168
汉莎航空, LH6189, 波音737, 柏林, 2024-12-02 08:19, 西安, 2024-12-02 16:32, 7622.0, 177
南方航空, CZ6229, 空客A350, 乌鲁木齐, 2024-12-02 01:15, 广州, 2024-12-02 05:28, 3914.0, 41
俄罗斯航空, SU5521, 波音777, 莫斯科, 2024-12-02 12:50, 乌鲁木齐, 2024-12-02 16:50, 3708.0, 52
