俄罗斯航空, SU8427, 波音737, 莫斯科, 2024-12-01 04:36, 柏林, 2024-12-01 06:22, 1648, 197
南方航空, CZ7668, 波音787, 上海, 2024-12-01 04:33, 成都, 2024-12-01 06:26, 1751, 118
法国航空, AF9987, 空客A350, 上海, 2024-12-01 10:22, 昆明, 2024-12-01 12:28, 1957, 32
汉莎航空, LH8829, 空客A350, 上海, 2024-12-01 00:46, 柏林, 2024-12-01 10:12, 8755, 175
全日空, NH6065, 波音777, 上海, 2024-12-01 16:58, 东京, 2024-12-01 18:58, 1854, 163
汉莎航空, LH6682, 空客A330, 上海, 2024-12-01 21:18, 西安, 2024-12-01 22:38, 1236, 105
泰国航空, TG3112, 空客A350, 上海, 2024-12-01 13:44, 呼和浩特, 2024-12-01 15:24, 1545, 173
全日空, NH3419, 波音737, 上海, 2024-12-01 15:20, 莫斯科, 2024-12-01 23:00, 7107, 149
英国航空, BA4948, 波音787, 上海, 2024-12-01 15:06, 广州, 2024-12-01 16:26, 1236, 73
海南航空, HU1346, 波音787, 上海, 2024-12-01 06:21, 呼和浩特, 2024-12-01 08:01, 1545, 63
全日空, NH1781, 波音787, 上海, 2024-12-01 05:40, 南宁, 2024-12-01 07:33, 1751, 40
日本航空, JL2836, 波音787, 上海, 2024-12-01 08:46, 昆明, 2024-12-01 10:52, 1957, 177
东方航空, MU3869, 波音737, 上海, 2024-12-01 11:14, 合肥, 2024-12-01 11:40, 412, 124
法国航空, AF6154, 波音777, 上海, 2024-12-01 00:56, 曼谷, 2024-12-01 03:56, 2781, 152
海南航空, HU6197, 波音787, 上海, 2024-12-01 16:41, 西安, 2024-12-01 18:01, 1236, 144
南方航空, CZ5659, 波音737, 上海, 2024-12-01 03:31, 洛杉矶, 2024-12-01 14:37, 10300, 147
俄罗斯航空, SU7041, 空客A330, 上海, 2024-12-01 19:00, 拉萨, 2024-12-01 22:26, 3193, 155
泰国航空, TG5513, 空客A330, 上海, 2024-12-01 09:59, 首尔, 2024-12-01 10:59, 927, 158
澳洲航空, QF6711, 波音777, 上海, 2024-12-01 00:43, 呼和浩特, 2024-12-01 02:23, 1545, 32
中国国际航空, CA8650, 波音737, 上海, 2024-12-01 17:08, 首尔, 2024-12-01 18:08, 927, 36
东方航空, MU6345, 波音787, 上海, 2024-12-01 02:10, 东京, 2024-12-01 04:10, 1854, 197
法国航空, AF9025, 波音777, 上海, 2024-12-01 08:13, 悉尼, 2024-12-01 17:06, 8240, 102
中国国际航空, CA1053, 空客A330, 哈尔滨, 2024-12-01 09:43, 东京, 2024-12-01 11:23, 1545, 33
中国国际航空, CA5007, 波音777, 哈尔滨, 2024-12-01 03:12, 纽约, 2024-12-01 14:38, 10609, 33
中国国际航空, CA9948, 波音787, 哈尔滨, 2024-12-01 16:40, 呼和浩特, 2024-12-01 18:06, 1339, 156
中国国际航空, CA7867, 波音777, 哈尔滨, 2024-12-01 07:46, 呼和浩特, 2024-12-01 09:12, 1339, 44
中国国际航空, CA2671, 空客A320, 哈尔滨, 2024-12-01 15:25, 莫斯科, 2024-12-01 21:11, 5356, 185
中国国际航空, CA1304, 波音777, 哈尔滨, 2024-12-01 18:50, 东京, 2024-12-01 20:30, 1545, 60
中国国际航空, CA5290, 波音777, 哈尔滨, 2024-12-01 08:49, 柏林, 2024-12-01 16:22, 7004, 140
中国国际航空, CA4300, 波音737, 哈尔滨, 2024-12-01 09:28, 洛杉矶, 2024-12-01 19:48, 9579, 20
中国国际航空, CA3925, 波音787, 哈尔滨, 2024-12-01 17:40, 曼谷, 2024-12-01 22:33, 4532, 171
中国国际航空, CA1822, 空客A320, 哈尔滨, 2024-12-01 10:07, 纽约, 2024-12-01 21:33, 10609, 95
中国国际航空, CA5954, 波音777, 哈尔滨, 2024-12-01 12:37, 莫斯科, 2024-12-01 18:23, 5356, 142
中国国际航空, CA1832, 空客A320, 哈尔滨, 2024-12-01 04:59, 西安, 2024-12-01 07:12, 2060, 95
中国国际航空, CA9620, 波音787, 哈尔滨, 2024-12-01 20:17, 西安, 2024-12-01 22:30, 2060, 2
中国国际航空, CA4501, 波音777, 哈尔滨, 2024-12-01 18:07, 首尔, 2024-12-01 19:10, 978.5, 97
中国国际航空, CA3146, 空客A320, 哈尔滨, 2024-12-01 11:40, 曼谷, 2024-12-01 16:33, 4532, 63
中国国际航空, CA7083, 空客A350, 哈尔滨, 2024-12-01 17:09, 莫斯科, 2024-12-01 22:55, 5356, 141
中国国际航空, CA2247, 空客A330, 哈尔滨, 2024-12-01 05:58, 曼谷, 2024-12-01 10:51, 4532, 181
中国国际航空, CA1113, 波音777, 哈尔滨, 2024-12-01 17:09, 首尔, 2024-12-01 18:12, 978.5, 197
中国国际航空, CA6158, 波音777, 哈尔滨, 2024-12-01 09:40, 莫斯科, 2024-12-01 15:26, 5356, 97
法国航空, AF1846, 波音777, 巴黎, 2024-12-01 07:15, 首尔, 2024-12-01 17:21, 9373, 17
法国航空, AF7599, 空客A330, 巴黎, 2024-12-01 06:54, 拉萨, 2024-12-01 15:27, 7931, 138
法国航空, AF6451, 波音787, 巴黎, 2024-12-01 08:24, 呼和浩特, 2024-12-01 17:17, 8240, 17
法国航空, AF5781, 空客A350, 巴黎, 2024-12-01 00:38, 南宁, 2024-12-01 11:24, 9991, 46
法国航空, AF5951, 空客A330, 巴黎, 2024-12-01 04:21, 莫斯科, 2024-12-01 07:07, 2575, 135
法国航空, AF1698, 空客A330, 巴黎, 2024-12-01 10:59, 呼和浩特, 2024-12-01 19:52, 8240, 135
法国航空, AF7834, 波音787, 巴黎, 2024-12-01 15:17, 拉萨, 2024-12-01 23:50, 7931, 19
法国航空, AF5662, 波音737, 巴黎, 2024-12-01 09:21, 洛杉矶, 2024-12-01 19:27, 9373, 120
法国航空, AF4857, 波音787, 巴黎, 2024-12-01 00:02, 纽约, 2024-12-01 06:28, 5974, 15
法国航空, AF7143, 波音777, 巴黎, 2024-12-01 09:20, 洛杉矶, 2024-12-01 19:26, 9373, 45
法国航空, AF4890, 空客A320, 巴黎, 2024-12-01 13:08, 伦敦, 2024-12-01 13:31, 360.5, 144
法国航空, AF2993, 波音737, 巴黎, 2024-12-01 07:00, 哈尔滨, 2024-12-01 15:33, 7931, 48
法国航空, AF9365, 波音777, 巴黎, 2024-12-01 12:35, 北京, 2024-12-01 21:55, 8652, 143
法国航空, AF8163, 空客A320, 巴黎, 2024-12-01 04:05, 哈尔滨, 2024-12-01 12:38, 7931, 62
法国航空, AF8997, 波音737, 巴黎, 2024-12-01 10:10, 成都, 2024-12-01 19:30, 8652, 133
东方航空, MU6048, 波音777, 合肥, 2024-12-01 20:34, 南宁, 2024-12-01 22:14, 1545, 154
东方航空, MU5856, 波音737, 合肥, 2024-12-01 00:28, 巴黎, 2024-12-01 10:28, 9270, 179
东方航空, MU2450, 空客A330, 合肥, 2024-12-01 01:47, 纽约, 2024-12-01 14:40, 11948, 12
东方航空, MU2026, 空客A350, 合肥, 2024-12-01 03:21, 北京, 2024-12-01 04:27, 1030, 133
东方航空, MU6150, 空客A350, 合肥, 2024-12-01 06:18, 莫斯科, 2024-12-01 13:31, 6695, 146
东方航空, MU9369, 空客A320, 合肥, 2024-12-01 19:50, 南宁, 2024-12-01 21:30, 1545, 119
东方航空, MU8122, 波音787, 合肥, 2024-12-01 02:58, 上海, 2024-12-01 03:24, 412, 44
东方航空, MU2612, 空客A330, 合肥, 2024-12-01 01:01, 上海, 2024-12-01 01:27, 412, 140
东方航空, MU4236, 空客A320, 合肥, 2024-12-01 15:19, 成都, 2024-12-01 16:52, 1442, 25
东方航空, MU4179, 波音777, 合肥, 2024-12-01 12:46, 广州, 2024-12-01 13:59, 1133, 172
东方航空, MU7960, 空客A320, 合肥, 2024-12-01 07:04, 昆明, 2024-12-01 08:50, 1648, 182
东方航空, MU4468, 波音737, 合肥, 2024-12-01 19:47, 东京, 2024-12-01 22:13, 2266, 96
东方航空, MU1575, 空客A320, 合肥, 2024-12-01 02:33, 曼谷, 2024-12-01 05:39, 2884, 12
东方航空, MU8674, 空客A320, 合肥, 2024-12-01 16:23, 乌鲁木齐, 2024-12-01 19:56, 3296, 86
东方航空, MU2229, 空客A350, 合肥, 2024-12-01 14:40, 拉萨, 2024-12-01 17:46, 2884, 103
东方航空, MU1767, 波音777, 合肥, 2024-12-01 07:06, 东京, 2024-12-01 09:32, 2266, 135
东方航空, MU5270, 空客A350, 合肥, 2024-12-01 00:58, 巴黎, 2024-12-01 10:58, 9270, 37
东方航空, MU6429, 波音777, 合肥, 2024-12-01 20:21, 乌鲁木齐, 2024-12-01 23:54, 3296, 55
东方航空, MU6846, 空客A330, 合肥, 2024-12-01 03:22, 北京, 2024-12-01 04:28, 1030, 20
东方航空, MU5178, 波音777, 合肥, 2024-12-01 06:55, 洛杉矶, 2024-12-01 18:41, 10918, 133
东方航空, MU5632, 空客A350, 合肥, 2024-12-01 03:18, 柏林, 2024-12-01 12:18, 8343, 56
东方航空, MU4360, 波音737, 合肥, 2024-12-01 08:16, 广州, 2024-12-01 09:29, 1133, 49
东方航空, MU4402, 波音737, 合肥, 2024-12-01 05:51, 拉萨, 2024-12-01 08:57, 2884, 64
东方航空, MU4640, 空客A330, 合肥, 2024-12-01 01:09, 广州, 2024-12-01 02:22, 1133, 200
中国国际航空, CA5491, 空客A320, 成都, 2024-12-01 03:50, 纽约, 2024-12-01 16:03, 11330, 17
中国国际航空, CA8142, 波音777, 成都, 2024-12-01 12:00, 拉萨, 2024-12-01 13:20, 1236, 92
中国国际航空, CA1770, 空客A320, 成都, 2024-12-01 14:12, 悉尼, 2024-12-01 23:05, 8240, 86
中国国际航空, CA3308, 空客A320, 成都, 2024-12-01 16:40, 拉萨, 2024-12-01 18:00, 1236, 31
东方航空, MU9041, 波音787, 成都, 2024-12-01 00:30, 悉尼, 2024-12-01 09:23, 8240, 95
海南航空, HU8851, 空客A330, 成都, 2024-12-01 20:59, 哈尔滨, 2024-12-01 23:52, 2678, 171
南方航空, CZ6906, 波音737, 成都, 2024-12-01 07:17, 伦敦, 2024-12-01 16:23, 8446, 107
中国国际航空, CA3421, 空客A330, 成都, 2024-12-01 13:09, 南宁, 2024-12-01 14:35, 1339, 46
海南航空, HU5740, 空客A320, 成都, 2024-12-01 18:31, 东京, 2024-12-01 21:57, 3193, 87
东方航空, MU9463, 空客A330, 成都, 2024-12-01 11:21, 广州, 2024-12-01 12:54, 1442, 17
海南航空, HU1317, 空客A350, 成都, 2024-12-01 06:38, 莫斯科, 2024-12-01 14:11, 7004, 129
海南航空, HU5295, 空客A320, 成都, 2024-12-01 04:19, 西安, 2024-12-01 05:05, 721, 55
中国国际航空, CA3744, 波音737, 成都, 2024-12-01 14:09, 乌鲁木齐, 2024-12-01 16:49, 2472, 183
南方航空, CZ2202, 波音777, 成都, 2024-12-01 14:56, 东京, 2024-12-01 18:22, 3193, 134
东方航空, MU9530, 波音737, 成都, 2024-12-01 01:58, 昆明, 2024-12-01 02:44, 721, 53
中国国际航空, CA8255, 空客A330, 成都, 2024-12-01 15:55, 莫斯科, 2024-12-01 23:28, 7004, 138
海南航空, HU2944, 波音737, 成都, 2024-12-01 03:31, 首尔, 2024-12-01 06:04, 2369, 132
中国国际航空, CA4239, 波音737, 成都, 2024-12-01 08:05, 西安, 2024-12-01 08:51, 721, 180
南方航空, CZ8124, 波音737, 成都, 2024-12-01 02:07, 柏林, 2024-12-01 10:27, 7725, 108
