中国国际航空, CA5824, 北京, 2024-10-01 22:02, 哈尔滨, 2024-10-02 02:25, 1353, 35
中国国际航空, CA5339, 哈尔滨, 2024-10-01 21:37, 拉萨, 2024-10-02 02:15, 552, 63
东方航空, MU2623, 哈尔滨, 2024-10-01 00:56, 昆明, 2024-10-01 04:13, 1178, 55
东方航空, MU6536, 哈尔滨, 2024-10-01 12:00, 北京, 2024-10-01 17:56, 1070, 63
中国国际航空, CA1564, 哈尔滨, 2024-10-01 01:43, 成都, 2024-10-01 05:38, 929, 78
南方航空, CZ5699, 哈尔滨, 2024-10-01 11:18, 乌鲁木齐, 2024-10-01 16:51, 581, 22
山东航空, SC6126, 呼和浩特, 2024-10-01 23:53, 哈尔滨, 2024-10-02 04:47, 882, 72
东方航空, MU5285, 呼和浩特, 2024-10-01 04:09, 昆明, 2024-10-01 08:30, 1250, 39
东方航空, MU1169, 呼和浩特, 2024-10-01 12:22, 上海, 2024-10-01 15:42, 888, 96
厦门航空, MF9271, 呼和浩特, 2024-10-01 15:34, 广州, 2024-10-01 20:22, 519, 38
东方航空, MU1639, 呼和浩特, 2024-10-01 19:52, 上海, 2024-10-01 21:57, 433, 62
中国国际航空, CA8819, 呼和浩特, 2024-10-01 00:06, 乌鲁木齐, 2024-10-01 05:50, 1121, 77
山东航空, SC6652, 呼和浩特, 2024-10-01 19:46, 成都, 2024-10-01 22:25, 1194, 35
山东航空, SC3437, 呼和浩特, 2024-10-01 21:03, 成都, 2024-10-02 02:21, 1439, 44
中国国际航空, CA4803, 呼和浩特, 2024-10-01 23:37, 哈尔滨, 2024-10-02 01:46, 1373, 27
东方航空, MU1571, 呼和浩特, 2024-10-01 19:41, 北京, 2024-10-01 22:36, 898, 51
山东航空, SC7460, 呼和浩特, 2024-10-01 01:21, 广州, 2024-10-01 05:42, 1017, 10
山东航空, SC8377, 呼和浩特, 2024-10-01 18:32, 北京, 2024-10-01 22:27, 468, 93
东方航空, MU2658, 呼和浩特, 2024-10-01 11:27, 哈尔滨, 2024-10-01 15:52, 1215, 73
中国国际航空, CA7599, 呼和浩特, 2024-10-01 14:22, 哈尔滨, 2024-10-01 16:40, 768, 59
东方航空, MU7145, 呼和浩特, 2024-10-01 21:08, 昆明, 2024-10-02 02:38, 752, 65
厦门航空, MF2790, 呼和浩特, 2024-10-01 17:58, 哈尔滨, 2024-10-01 20:03, 479, 47
山东航空, SC8249, 乌鲁木齐, 2024-10-01 11:56, 成都, 2024-10-01 16:42, 462, 67
山东航空, SC4552, 乌鲁木齐, 2024-10-01 19:56, 拉萨, 2024-10-01 23:02, 816, 42
南方航空, CZ9355, 乌鲁木齐, 2024-10-01 13:52, 拉萨, 2024-10-01 16:17, 1335, 49
山东航空, SC1481, 乌鲁木齐, 2024-10-01 17:22, 哈尔滨, 2024-10-01 19:56, 1019, 28
中国国际航空, CA9913, 乌鲁木齐, 2024-10-01 18:24, 广州, 2024-10-01 22:34, 1011, 30
山东航空, SC1412, 乌鲁木齐, 2024-10-01 18:07, 上海, 2024-10-01 23:46, 948, 56
南方航空, CZ4844, 乌鲁木齐, 2024-10-01 17:50, 昆明, 2024-10-01 20:53, 955, 91
南方航空, CZ7000, 乌鲁木齐, 2024-10-01 18:56, 上海, 2024-10-01 22:58, 972, 15
中国国际航空, CA7327, 乌鲁木齐, 2024-10-01 17:11, 广州, 2024-10-01 22:51, 1342, 72
东方航空, MU4608, 乌鲁木齐, 2024-10-01 09:47, 呼和浩特, 2024-10-01 12:17, 1151, 79
中国国际航空, CA7693, 乌鲁木齐, 2024-10-01 08:22, 成都, 2024-10-01 11:30, 1209, 95
中国国际航空, CA4425, 乌鲁木齐, 2024-10-01 15:38, 上海, 2024-10-01 20:27, 979, 25
东方航空, MU9921, 乌鲁木齐, 2024-10-01 15:54, 哈尔滨, 2024-10-01 19:40, 559, 17
厦门航空, MF3057, 乌鲁木齐, 2024-10-01 13:30, 拉萨, 2024-10-01 18:23, 970, 99
南方航空, CZ2954, 广州, 2024-10-01 00:04, 昆明, 2024-10-01 03:35, 675, 37
厦门航空, MF4609, 广州, 2024-10-01 21:06, 成都, 2024-10-02 02:37, 1290, 98
南方航空, CZ6864, 广州, 2024-10-01 00:44, 成都, 2024-10-01 03:19, 1036, 68
厦门航空, MF1944, 广州, 2024-10-01 15:59, 昆明, 2024-10-01 18:26, 437, 62
东方航空, MU3702, 广州, 2024-10-01 17:20, 北京, 2024-10-01 20:40, 1252, 33
南方航空, CZ9513, 广州, 2024-10-01 13:00, 哈尔滨, 2024-10-01 18:08, 699, 26
厦门航空, MF5504, 广州, 2024-10-01 23:59, 乌鲁木齐, 2024-10-02 04:06, 872, 52
中国国际航空, CA5852, 广州, 2024-10-01 18:02, 北京, 2024-10-01 20:51, 650, 77
东方航空, MU9963, 广州, 2024-10-01 02:01, 上海, 2024-10-01 06:15, 615, 70
东方航空, MU5993, 广州, 2024-10-01 06:36, 拉萨, 2024-10-01 09:31, 482, 75
南方航空, CZ7438, 广州, 2024-10-01 22:55, 北京, 2024-10-02 01:55, 848, 14
中国国际航空, CA9341, 广州, 2024-10-01 03:36, 南宁, 2024-10-01 07:40, 1140, 84
东方航空, MU3824, 广州, 2024-10-01 04:31, 上海, 2024-10-01 07:58, 957, 26
东方航空, MU2026, 广州, 2024-10-01 22:53, 成都, 2024-10-02 04:51, 1386, 41
东方航空, MU7971, 广州, 2024-10-01 06:37, 南宁, 2024-10-01 11:44, 960, 69
东方航空, MU7367, 广州, 2024-10-01 03:38, 乌鲁木齐, 2024-10-01 06:54, 1022, 74
山东航空, SC7640, 广州, 2024-10-01 19:03, 昆明, 2024-10-02 00:13, 1410, 85
东方航空, MU4112, 广州, 2024-10-01 00:50, 呼和浩特, 2024-10-01 03:09, 1245, 81
中国国际航空, CA7579, 广州, 2024-10-01 07:10, 成都, 2024-10-01 11:45, 527, 79
厦门航空, MF2936, 广州, 2024-10-01 05:10, 北京, 2024-10-01 07:31, 865, 62
东方航空, MU7967, 广州, 2024-10-01 07:36, 昆明, 2024-10-01 12:22, 1177, 98
厦门航空, MF7165, 广州, 2024-10-01 04:10, 乌鲁木齐, 2024-10-01 06:25, 681, 45
东方航空, MU3229, 广州, 2024-10-01 03:45, 北京, 2024-10-01 06:03, 922, 89
南方航空, CZ1175, 广州, 2024-10-01 13:34, 北京, 2024-10-01 16:55, 980, 90
东方航空, MU8859, 广州, 2024-10-01 15:47, 拉萨, 2024-10-01 20:00, 884, 42
山东航空, SC5190, 广州, 2024-10-01 18:33, 哈尔滨, 2024-10-01 22:28, 1374, 97
山东航空, SC1217, 广州, 2024-10-01 11:57, 北京, 2024-10-01 14:25, 1376, 15
山东航空, SC8545, 广州, 2024-10-01 16:24, 北京, 2024-10-01 22:06, 1446, 18
东方航空, MU2170, 昆明, 2024-10-01 21:12, 南宁, 2024-10-02 02:31, 615, 98
厦门航空, MF7391, 昆明, 2024-10-01 09:45, 拉萨, 2024-10-01 14:29, 1379, 12
山东航空, SC9619, 昆明, 2024-10-01 04:30, 哈尔滨, 2024-10-01 08:31, 561, 79
南方航空, CZ2353, 昆明, 2024-10-01 14:58, 广州, 2024-10-01 17:21, 669, 57
南方航空, CZ1222, 昆明, 2024-10-01 07:56, 南宁, 2024-10-01 10:40, 599, 19
厦门航空, MF7312, 昆明, 2024-10-01 13:25, 广州, 2024-10-01 17:17, 909, 86
厦门航空, MF8506, 昆明, 2024-10-01 09:00, 北京, 2024-10-01 14:42, 771, 86
山东航空, SC7822, 昆明, 2024-10-01 22:38, 广州, 2024-10-02 01:39, 426, 92
山东航空, SC1974, 昆明, 2024-10-01 17:43, 拉萨, 2024-10-01 21:58, 849, 75
东方航空, MU6902, 昆明, 2024-10-01 18:25, 北京, 2024-10-01 23:05, 538, 77
山东航空, SC3071, 昆明, 2024-10-01 19:13, 广州, 2024-10-01 23:26, 991, 46
南方航空, CZ2672, 昆明, 2024-10-01 22:21, 广州, 2024-10-02 03:33, 1475, 88
山东航空, SC1718, 昆明, 2024-10-01 16:40, 南宁, 2024-10-01 22:13, 1192, 12
南方航空, CZ2160, 昆明, 2024-10-01 22:23, 上海, 2024-10-02 03:35, 759, 74
山东航空, SC2123, 昆明, 2024-10-01 19:20, 呼和浩特, 2024-10-01 22:19, 742, 33
厦门航空, MF8999, 昆明, 2024-10-01 04:42, 乌鲁木齐, 2024-10-01 09:51, 548, 28
东方航空, MU7507, 南宁, 2024-10-01 10:13, 昆明, 2024-10-01 12:39, 834, 53
厦门航空, MF8159, 南宁, 2024-10-01 12:13, 上海, 2024-10-01 17:28, 752, 76
厦门航空, MF2095, 南宁, 2024-10-01 03:49, 上海, 2024-10-01 09:32, 772, 46
厦门航空, MF5832, 南宁, 2024-10-01 19:35, 拉萨, 2024-10-01 22:54, 969, 53
东方航空, MU2536, 南宁, 2024-10-01 17:33, 昆明, 2024-10-01 20:26, 1113, 90
厦门航空, MF7302, 南宁, 2024-10-01 02:04, 呼和浩特, 2024-10-01 05:11, 1348, 95
东方航空, MU3713, 南宁, 2024-10-01 14:55, 乌鲁木齐, 2024-10-01 19:34, 582, 85
东方航空, MU9036, 南宁, 2024-10-01 04:25, 拉萨, 2024-10-01 09:47, 1064, 16
南方航空, CZ8889, 南宁, 2024-10-01 15:55, 昆明, 2024-10-01 20:11, 404, 74
中国国际航空, CA2890, 南宁, 2024-10-01 13:31, 拉萨, 2024-10-01 17:08, 1465, 59
中国国际航空, CA7956, 南宁, 2024-10-01 07:18, 拉萨, 2024-10-01 12:27, 628, 34
东方航空, MU9658, 南宁, 2024-10-01 07:19, 成都, 2024-10-01 09:40, 424, 87
南方航空, CZ2346, 南宁, 2024-10-01 04:51, 乌鲁木齐, 2024-10-01 10:35, 793, 16
东方航空, MU7826, 南宁, 2024-10-01 10:35, 哈尔滨, 2024-10-01 14:24, 680, 33
中国国际航空, CA5579, 南宁, 2024-10-01 21:25, 呼和浩特, 2024-10-02 02:39, 1349, 89
山东航空, SC6902, 南宁, 2024-10-01 15:46, 呼和浩特, 2024-10-01 19:23, 1499, 48
山东航空, SC7716, 南宁, 2024-10-01 13:29, 乌鲁木齐, 2024-10-01 15:44, 432, 81
南方航空, CZ7210, 南宁, 2024-10-01 11:01, 上海, 2024-10-01 14:29, 1078, 39
厦门航空, MF9244, 南宁, 2024-10-01 21:05, 昆明, 2024-10-02 02:08, 873, 63
厦门航空, MF4681, 南宁, 2024-10-01 16:34, 上海, 2024-10-01 21:56, 954, 89
山东航空, SC4022, 南宁, 2024-10-01 14:49, 呼和浩特, 2024-10-01 19:17, 568, 25
东方航空, MU7413, 南宁, 2024-10-01 08:34, 呼和浩特, 2024-10-01 13:36, 1029, 94
东方航空, MU5271, 南宁, 2024-10-01 04:23, 广州, 2024-10-01 06:48, 1055, 59
厦门航空, MF3309, 南宁, 2024-10-01 10:56, 呼和浩特, 2024-10-01 15:38, 1273, 76
南方航空, CZ6993, 南宁, 2024-10-01 17:46, 北京, 2024-10-01 21:36, 998, 88
中国国际航空, CA7348, 南宁, 2024-10-01 21:14, 呼和浩特, 2024-10-02 00:33, 769, 62
东方航空, MU9000, 南宁, 2024-10-01 21:53, 广州, 2024-10-02 03:31, 1339, 93
中国国际航空, CA5389, 成都, 2024-10-01 13:13, 南宁, 2024-10-01 18:35, 640, 44
中国国际航空, CA9004, 成都, 2024-10-01 18:40, 乌鲁木齐, 2024-10-01 22:12, 482, 19
东方航空, MU5476, 成都, 2024-10-01 13:35, 南宁, 2024-10-01 17:21, 1406, 28
厦门航空, MF6906, 成都, 2024-10-01 09:06, 北京, 2024-10-01 12:03, 954, 15
南方航空, CZ3260, 成都, 2024-10-01 10:38, 哈尔滨, 2024-10-01 13:09, 624, 75
南方航空, CZ7424, 成都, 2024-10-01 22:25, 哈尔滨, 2024-10-02 01:58, 620, 70
山东航空, SC2245, 成都, 2024-10-01 20:34, 拉萨, 2024-10-02 02:28, 1017, 13
山东航空, SC3210, 成都, 2024-10-01 12:16, 上海, 2024-10-01 15:41, 956, 35
厦门航空, MF9289, 成都, 2024-10-01 23:03, 北京, 2024-10-02 03:09, 1026, 84
东方航空, MU4735, 成都, 2024-10-01 14:06, 北京, 2024-10-01 19:53, 1119, 97
厦门航空, MF4423, 成都, 2024-10-01 15:18, 北京, 2024-10-01 17:21, 1317, 20
厦门航空, MF2319, 成都, 2024-10-01 19:04, 上海, 2024-10-02 00:25, 1106, 73
南方航空, CZ1299, 成都, 2024-10-01 19:11, 拉萨, 2024-10-02 00:56, 1159, 46
中国国际航空, CA7658, 成都, 2024-10-01 12:50, 呼和浩特, 2024-10-01 15:33, 1490, 13
南方航空, CZ9622, 成都, 2024-10-01 21:51, 呼和浩特, 2024-10-02 01:48, 1216, 88
山东航空, SC6057, 成都, 2024-10-01 15:40, 北京, 2024-10-01 19:29, 715, 59
山东航空, SC1807, 成都, 2024-10-01 08:13, 拉萨, 2024-10-01 12:21, 570, 64
东方航空, MU5801, 成都, 2024-10-01 14:56, 拉萨, 2024-10-01 19:51, 1095, 90
南方航空, CZ4554, 成都, 2024-10-01 07:59, 呼和浩特, 2024-10-01 13:14, 793, 56
东方航空, MU7723, 成都, 2024-10-01 16:52, 拉萨, 2024-10-01 21:48, 722, 84
南方航空, CZ9531, 成都, 2024-10-01 22:49, 上海, 2024-10-02 03:41, 1227, 35
山东航空, SC6992, 成都, 2024-10-01 10:04, 昆明, 2024-10-01 12:50, 1170, 55
东方航空, MU6255, 成都, 2024-10-01 02:53, 南宁, 2024-10-01 05:04, 401, 10
山东航空, SC5048, 成都, 2024-10-01 01:28, 呼和浩特, 2024-10-01 06:15, 418, 17
厦门航空, MF6826, 成都, 2024-10-01 17:21, 广州, 2024-10-01 22:02, 1218, 71
中国国际航空, CA6697, 成都, 2024-10-01 06:21, 昆明, 2024-10-01 11:00, 761, 54
中国国际航空, CA3395, 拉萨, 2024-10-01 13:41, 上海, 2024-10-01 18:46, 725, 73
东方航空, MU2925, 拉萨, 2024-10-01 03:00, 成都, 2024-10-01 05:23, 1113, 97
厦门航空, MF7581, 拉萨, 2024-10-01 02:56, 哈尔滨, 2024-10-01 06:29, 906, 38
厦门航空, MF2371, 拉萨, 2024-10-01 06:28, 乌鲁木齐, 2024-10-01 10:00, 937, 62
山东航空, SC4090, 拉萨, 2024-10-01 11:33, 成都, 2024-10-01 15:10, 1347, 50
中国国际航空, CA5815, 拉萨, 2024-10-01 14:01, 广州, 2024-10-01 18:05, 1498, 29
南方航空, CZ6118, 拉萨, 2024-10-01 16:10, 广州, 2024-10-01 20:33, 1196, 87
东方航空, MU5141, 拉萨, 2024-10-01 07:37, 昆明, 2024-10-01 10:26, 1355, 61
山东航空, SC9152, 拉萨, 2024-10-01 19:37, 哈尔滨, 2024-10-01 23:05, 1465, 53
厦门航空, MF4748, 拉萨, 2024-10-01 11:33, 上海, 2024-10-01 17:09, 1455, 36
厦门航空, MF1648, 拉萨, 2024-10-01 21:07, 成都, 2024-10-02 01:52, 702, 16
厦门航空, MF1293, 拉萨, 2024-10-01 05:34, 南宁, 2024-10-01 09:48, 455, 10
南方航空, CZ3979, 拉萨, 2024-10-01 08:02, 北京, 2024-10-01 12:58, 1295, 44
中国国际航空, CA8427, 拉萨, 2024-10-01 14:23, 南宁, 2024-10-01 16:51, 1309, 76
南方航空, CZ9755, 拉萨, 2024-10-01 13:35, 上海, 2024-10-01 17:52, 915, 30
中国国际航空, CA9359, 拉萨, 2024-10-01 17:18, 广州, 2024-10-01 20:21, 988, 24
中国国际航空, CA1490, 拉萨, 2024-10-01 07:28, 昆明, 2024-10-01 13:13, 1139, 67
山东航空, SC6658, 拉萨, 2024-10-01 20:01, 昆明, 2024-10-02 01:17, 640, 80
中国国际航空, CA2568, 拉萨, 2024-10-01 10:44, 乌鲁木齐, 2024-10-01 16:36, 531, 80
东方航空, MU9826, 拉萨, 2024-10-01 01:58, 成都, 2024-10-01 05:32, 1394, 76
山东航空, SC8126, 拉萨, 2024-10-01 19:51, 广州, 2024-10-02 00:46, 789, 15
中国国际航空, CA7840, 拉萨, 2024-10-01 04:54, 哈尔滨, 2024-10-01 07:23, 1190, 50
山东航空, SC5768, 上海, 2024-10-01 16:14, 成都, 2024-10-01 19:51, 638, 76
南方航空, CZ8301, 上海, 2024-10-01 11:56, 北京, 2024-10-01 16:27, 481, 89
东方航空, MU9510, 上海, 2024-10-01 21:39, 广州, 2024-10-02 03:21, 1173, 47
中国国际航空, CA6775, 上海, 2024-10-01 14:07, 乌鲁木齐, 2024-10-01 18:04, 1043, 43
山东航空, SC9957, 上海, 2024-10-01 04:56, 呼和浩特, 2024-10-01 08:58, 1151, 42
山东航空, SC3318, 上海, 2024-10-01 19:08, 呼和浩特, 2024-10-02 00:08, 837, 20
山东航空, SC6333, 上海, 2024-10-01 02:15, 哈尔滨, 2024-10-01 04:35, 1470, 56
山东航空, SC2507, 上海, 2024-10-01 01:01, 哈尔滨, 2024-10-01 03:14, 1090, 56
山东航空, SC6460, 上海, 2024-10-01 03:54, 北京, 2024-10-01 09:41, 869, 27
山东航空, SC4461, 上海, 2024-10-01 10:12, 哈尔滨, 2024-10-01 12:18, 1246, 57
南方航空, CZ3235, 上海, 2024-10-01 17:09, 广州, 2024-10-01 19:17, 763, 20
中国国际航空, CA6224, 上海, 2024-10-01 01:09, 乌鲁木齐, 2024-10-01 03:58, 883, 82
中国国际航空, CA2293, 上海, 2024-10-01 20:25, 拉萨, 2024-10-01 23:11, 635, 32
山东航空, SC4037, 上海, 2024-10-01 05:31, 呼和浩特, 2024-10-01 10:10, 914, 68
中国国际航空,CA6255,西雅图,2024-11-01 17:00,基辅,2023-10-02 00:00,8407.35,49
联合航空,UA2174,伦敦,2024-11-01 19:00,西雅图,2023-10-02 07:00,12884.82,154
澳大利亚航空,QF8282,纽约,2024-11-01 22:00,悉尼,2023-10-02 06:00,11904.57,44
东方航空,MU6117,纽约,2024-11-01 03:00,西雅图,2024-11-01 11:00,5923.80,170
达美航空,DL7225,莫斯科,2024-11-01 03:00,纽约,2024-11-01 08:00,3895.53,149
海南航空,HU6403,伦敦,2024-11-01 02:00,纽约,2024-11-01 14:00,15948.69,47
南方航空,CZ2607,西雅图,2024-11-01 01:00,基辅,2024-11-01 07:00,3752.37,79
东方航空,MU2191,莫斯科,2024-11-01 12:00,西雅图,2023-10-02 02:00,9201.57,37
春秋航空,9C4066,莫斯科,2024-11-01 17:00,悉尼,2023-10-02 02:00,7207.89,107
南方航空,CZ9238,莫斯科,2024-11-01 19:00,基辅,2023-10-02 01:00,7492.11,106
澳大利亚航空,QF4801,纽约,2024-11-01 15:00,莫斯科,2024-11-01 23:00,14152.80,112
东方航空,MU5536,莫斯科,2024-11-01 12:00,纽约,2024-11-01 19:00,6341.31,95
联合航空,UA7674,纽约,2024-11-01 14:00,伦敦,2023-10-02 02:00,7377.03,22
中国国际航空,CA9479,悉尼,2024-11-01 03:00,伦敦,2024-11-01 10:00,12132.48,99
达美航空,DL9074,莫斯科,2024-11-01 10:00,纽约,2024-11-01 15:00,8143.29,116
南方航空,CZ2181,莫斯科,2024-11-01 22:00,西雅图,2023-10-02 11:00,20490.45,44
南方航空,CZ8612,悉尼,2024-11-01 11:00,莫斯科,2024-11-01 23:00,16838.07,123
澳大利亚航空,QF6754,基辅,2024-11-01 17:00,莫斯科,2023-10-02 02:00,12799.83,101
联合航空,UA7377,悉尼,2024-11-01 03:00,纽约,2024-11-01 11:00,10906.11,173
中国国际航空,CA3488,纽约,2024-11-01 20:00,西雅图,2023-10-02 06:00,8341.92,101
澳大利亚航空,QF4285,悉尼,2024-11-01 02:00,西雅图,2024-11-01 08:00,4169.55,137
达美航空,DL8674,基辅,2024-11-01 10:00,西雅图,2024-11-01 19:00,5503.47,143
联合航空,UA7218,伦敦,2024-11-01 01:00,莫斯科,2024-11-01 03:00,2579.88,95
春秋航空,9C1897,基辅,2024-11-01 09:00,伦敦,2024-11-01 12:00,1895.34,38
春秋航空,9C3091,伦敦,2024-11-01 17:00,悉尼,2023-10-02 00:00,11720.76,153
海南航空,HU7562,悉尼,2024-11-01 11:00,西雅图,2024-11-01 17:00,8676.06,2
澳大利亚航空,QF8885,纽约,2024-11-01 13:00,悉尼,2024-11-01 23:00,6687.27,84
东方航空,MU1439,伦敦,2024-11-01 00:00,基辅,2024-11-01 04:00,5579.85,2
中国国际航空,CA8599,伦敦,2024-11-01 20:00,西雅图,2023-10-02 05:00,13241.22,164
南方航空,CZ3290,西雅图,2024-11-01 11:00,基辅,2024-11-01 21:00,10282.53,72
春秋航空,9C2442,伦敦,2024-11-01 11:00,悉尼,2024-11-01 19:00,10471.95,33
达美航空,DL7712,西雅图,2024-11-01 04:00,纽约,2024-11-01 09:00,6634.44,121
海南航空,HU1610,伦敦,2024-11-01 11:00,西雅图,2023-10-02 00:00,9303.45,15
联合航空,UA9866,莫斯科,2024-11-01 00:00,纽约,2024-11-01 10:00,12364.83,23
海南航空,HU3114,纽约,2024-11-01 12:00,莫斯科,2024-11-01 18:00,3957.60,112
海南航空,HU9761,基辅,2024-11-01 05:00,纽约,2024-11-01 19:00,12337.95,90
联合航空,UA8358,西雅图,2024-11-01 22:00,莫斯科,2023-10-02 13:00,21614.04,167
海南航空,HU7469,基辅,2024-11-01 17:00,莫斯科,2023-10-02 03:00,15579.03,4
联合航空,UA8732,基辅,2024-11-01 06:00,西雅图,2024-11-01 13:00,5957.10,119
联合航空,UA2581,莫斯科,2024-11-01 12:00,基辅,2024-11-01 20:00,10278.15,136
澳大利亚航空,QF3861,纽约,2024-11-01 11:00,基辅,2024-11-01 20:00,7470.45,95
联合航空,UA9622,纽约,2024-11-01 09:00,悉尼,2024-11-01 19:00,11675.52,39
英国航空,BA7839,基辅,2024-11-01 18:00,莫斯科,2023-10-02 03:00,13217.22,38
美国航空,AA4495,伦敦,2024-11-01 02:00,基辅,2024-11-01 04:00,2975.19,50
南方航空,CZ6994,伦敦,2024-11-01 04:00,莫斯科,2024-11-01 08:00,6431.55,65
英国航空,BA5651,纽约,2024-11-01 02:00,西雅图,2024-11-01 12:00,13778.55,33
东方航空,MU6140,悉尼,2024-11-01 12:00,伦敦,2024-11-01 19:00,5485.02,96
澳大利亚航空,QF4633,伦敦,2024-11-01 19:00,基辅,2024-11-01 23:00,2886.27,179
春秋航空,9C7906,纽约,2024-11-01 12:00,悉尼,2024-11-01 22:00,11153.88,4
联合航空,UA9416,伦敦,2024-11-01 09:00,纽约,2024-11-01 19:00,16665.78,92
东方航空,MU5366,基辅,2024-11-01 17:00,纽约,2023-10-02 02:00,15009.72,81
联合航空,UA2662,纽约,2024-11-01 18:00,伦敦,2023-10-02 02:00,13525.20,16
英国航空,BA8905,悉尼,2024-11-01 09:00,伦敦,2024-11-01 15:00,9553.17,41
美国航空,AA7983,基辅,2024-11-01 23:00,西雅图,2023-10-02 06:00,9399.81,10
东方航空,MU4849,莫斯科,2024-11-01 07:00,纽约,2024-11-01 16:00,6406.50,152
海南航空,HU8790,西雅图,2024-11-01 08:00,悉尼,2024-11-01 13:00,7272.42,16
春秋航空,9C3640,莫斯科,2024-11-01 06:00,悉尼,2024-11-01 17:00,10869.78,75
春秋航空,9C9010,悉尼,2024-11-01 17:00,基辅,2024-11-01 23:00,6991.59,83
南方航空,CZ9104,西雅图,2024-11-01 08:00,基辅,2024-11-01 18:00,9139.62,84
海南航空,HU2249,莫斯科,2024-11-01 22:00,西雅图,2023-10-02 10:00,14459.79,12
美国航空,AA6747,莫斯科,2024-11-01 11:00,悉尼,2024-11-01 22:00,14819.10,29
中国国际航空,CA3990,基辅,2024-11-01 12:00,伦敦,2024-11-01 14:00,3519.24,116
英国航空,BA4611,悉尼,2024-11-01 08:00,西雅图,2024-11-01 15:00,4564.47,130
中国国际航空,CA6315,伦敦,2024-11-01 00:00,西雅图,2024-11-01 14:00,19224.69,32
达美航空,DL3146,基辅,2024-11-01 09:00,西雅图,2024-11-01 17:00,13718.64,7
美国航空,AA5145,基辅,2024-11-01 23:00,悉尼,2023-10-02 04:00,5073.36,74
联合航空,UA7034,伦敦,2024-11-01 16:00,基辅,2024-11-01 18:00,1370.85,50
