中国国际航空, CA5961, 空客A350, 北京, 2024-12-01 00:15, 东京, 2024-12-01 02:35, 2163, 75
南方航空, CZ2127, 波音777, 北京, 2024-12-02 11:29, 昆明, 2024-12-02 13:35, 1957, 91
汉莎航空, LH8918, 波音787, 北京, 2024-12-02 13:16, 伦敦, 2024-12-02 22:22, 8446, 145
汉莎航空, LH3375, 空客A320, 北京, 2024-12-02 01:55, 悉尼, 2024-12-02 11:55, 9270, 167
英国航空, BA3708, 波音777, 北京, 2024-12-02 01:46, 成都, 2024-12-02 03:26, 1545, 142
汉莎航空, LH7573, 空客A330, 北京, 2024-12-02 12:18, 成都, 2024-12-02 13:58, 1545, 75
东方航空, MU6190, 空客A320, 北京, 2024-12-01 00:46, 哈尔滨, 2024-12-01 01:59, 1133, 194
海南航空, HU7586, 空客A330, 北京, 2024-12-01 09:56, 拉萨, 2024-12-01 12:22, 2266, 194
中国国际航空, CA1766, 空客A330, 北京, 2024-12-01 09:26, 乌鲁木齐, 2024-12-01 11:52, 2266, 93
英国航空, BA4214, 波音777, 北京, 2024-12-01 14:53, 莫斯科, 2024-12-01 21:19, 5974, 162
英国航空, BA1382, 空客A330, 北京, 2024-12-01 08:43, 悉尼, 2024-12-01 18:43, 9270, 196
汉莎航空, LH3221, 波音737, 北京, 2024-12-01 11:25, 西安, 2024-12-01 12:25, 927, 48
南方航空, CZ6168, 空客A350, 北京, 2024-12-01 18:17, 拉萨, 2024-12-01 20:43, 2266, 13
英国航空, BA8991, 波音777, 北京, 2024-12-01 14:44, 伦敦, 2024-12-01 23:50, 8446, 8
法国航空, AF6698, 波音787, 北京, 2024-12-01 02:13, 西安, 2024-12-01 03:13, 927, 131
东方航空, MU4596, 空客A350, 北京, 2024-12-01 13:13, 首尔, 2024-12-01 14:16, 978.5, 67
海南航空, HU7811, 空客A330, 北京, 2024-12-01 00:03, 纽约, 2024-12-01 12:16, 11330, 114
汉莎航空, LH9262, 波音777, 北京, 2024-12-01 01:15, 东京, 2024-12-01 03:35, 2163, 100
英国航空, BA2154, 空客A330, 北京, 2024-12-01 13:23, 哈尔滨, 2024-12-01 14:36, 1133, 50
中国国际航空, CA7792, 波音777, 北京, 2024-12-01 12:02, 广州, 2024-12-01 14:22, 2163, 30
英国航空, BA9110, 波音737, 北京, 2024-12-01 08:48, 成都, 2024-12-01 10:28, 1545, 90
汉莎航空, LH8495, 波音777, 北京, 2024-12-01 01:32, 拉萨, 2024-12-01 03:58, 2266, 49
东方航空, MU6731, 波音737, 北京, 2024-12-01 00:40, 东京, 2024-12-01 03:00, 2163, 95
法国航空, AF6090, 空客A330, 北京, 2024-12-01 17:48, 首尔, 2024-12-01 18:51, 978.5, 23
法国航空, AF2645, 空客A350, 北京, 2024-12-01 07:50, 柏林, 2024-12-01 16:10, 7725, 35
南方航空, CZ3495, 空客A330, 北京, 2024-12-01 03:56, 悉尼, 2024-12-01 13:56, 9270, 42
法国航空, AF7944, 空客A320, 北京, 2024-12-01 01:14, 柏林, 2024-12-01 09:34, 7725, 75
英国航空, BA7211, 波音777, 北京, 2024-12-01 04:52, 西安, 2024-12-01 05:52, 927, 131
英国航空, BA8479, 波音737, 东京, 2024-12-02 06:14, 曼谷, 2024-12-02 11:14, 4635, 105
法国航空, AF3539, 波音737, 东京, 2024-12-02 16:13, 合肥, 2024-12-02 18:39, 2266, 99
英国航空, BA5402, 空客A320, 东京, 2024-12-02 00:29, 广州, 2024-12-02 03:35, 2884, 46
法国航空, AF8863, 空客A320, 东京, 2024-12-02 15:20, 昆明, 2024-12-02 19:00, 3399, 87
英国航空, BA7994, 波音787, 东京, 2024-12-02 01:35, 洛杉矶, 2024-12-02 11:21, 9064, 97
日本航空, JL4620, 空客A330, 东京, 2024-12-02 20:42, 合肥, 2024-12-02 23:08, 2266, 57
英国航空, BA6909, 空客A350, 东京, 2024-12-02 14:34, 南宁, 2024-12-02 18:14, 3399, 131
英国航空, BA1377, 空客A330, 东京, 2024-12-02 05:37, 成都, 2024-12-02 09:03, 3193, 30
法国航空, AF2069, 波音787, 东京, 2024-12-02 03:59, 洛杉矶, 2024-12-02 13:45, 9064, 136
法国航空, AF3358, 波音777, 东京, 2024-12-02 09:25, 拉萨, 2024-12-02 13:58, 4223, 159
英国航空, BA3431, 波音737, 东京, 2024-12-02 07:37, 南宁, 2024-12-02 11:17, 3399, 178
英国航空, BA3797, 空客A350, 东京, 2024-12-02 20:18, 北京, 2024-12-02 22:38, 2163, 178
日本航空, JL3355, 空客A330, 东京, 2024-12-02 16:17, 成都, 2024-12-02 19:43, 3193, 159
日本航空, JL6600, 波音787, 东京, 2024-12-02 06:11, 悉尼, 2024-12-02 14:51, 8034, 168
英国航空, BA8356, 空客A350, 东京, 2024-12-02 12:16, 哈尔滨, 2024-12-02 13:56, 1545, 17
法国航空, AF5219, 波音787, 东京, 2024-12-02 02:14, 伦敦, 2024-12-02 12:47, 9785, 33
法国航空, AF7439, 波音777, 东京, 2024-12-02 17:45, 乌鲁木齐, 2024-12-02 22:31, 4429, 183
日本航空, JL3884, 波音737, 东京, 2024-12-02 02:45, 柏林, 2024-12-02 12:38, 9167, 154
英国航空, BA5025, 波音787, 东京, 2024-12-02 07:31, 伦敦, 2024-12-02 18:04, 9785, 166
日本航空, JL3717, 空客A330, 东京, 2024-12-02 15:55, 呼和浩特, 2024-12-02 18:41, 2575, 131
法国航空, AF5823, 波音737, 东京, 2024-12-02 03:22, 北京, 2024-12-02 05:42, 2163, 99
日本航空, JL8132, 空客A350, 东京, 2024-12-02 05:45, 呼和浩特, 2024-12-02 08:31, 2575, 58
英国航空, BA5412, 波音777, 东京, 2024-12-02 16:29, 北京, 2024-12-02 18:49, 2163, 112
英国航空, BA8856, 波音787, 东京, 2024-12-02 04:03, 莫斯科, 2024-12-02 12:23, 7725, 104
日本航空, JL8792, 空客A320, 东京, 2024-12-01 04:18, 首尔, 2024-12-01 05:38, 1236, 58
日本航空, JL4644, 空客A330, 东京, 2024-12-01 03:12, 乌鲁木齐, 2024-12-01 07:58, 4429, 134
日本航空, JL9410, 波音777, 东京, 2024-12-01 08:22, 纽约, 2024-12-01 20:28, 11227, 74
法国航空, AF7766, 波音787, 东京, 2024-12-01 20:35, 首尔, 2024-12-01 21:55, 1236, 183
英国航空, BA2043, 波音787, 东京, 2024-12-01 03:17, 哈尔滨, 2024-12-01 04:57, 1545, 181
日本航空, JL4975, 空客A350, 东京, 2024-12-01 16:20, 曼谷, 2024-12-01 21:20, 4635, 13
英国航空, BA5515, 波音787, 东京, 2024-12-01 13:17, 柏林, 2024-12-01 23:10, 9167, 37
英国航空, BA8998, 波音737, 东京, 2024-12-01 06:48, 广州, 2024-12-01 09:54, 2884, 187
英国航空, BA3427, 波音737, 东京, 2024-12-01 12:18, 西安, 2024-12-01 15:11, 2678, 183
英国航空, BA6479, 波音777, 东京, 2024-12-01 05:42, 悉尼, 2024-12-01 14:22, 8034, 119
英国航空, BA3999, 空客A350, 东京, 2024-12-01 11:21, 伦敦, 2024-12-01 21:54, 9785, 155
日本航空, JL9349, 空客A320, 东京, 2024-12-01 11:37, 洛杉矶, 2024-12-01 21:23, 9064, 120
俄罗斯航空, SU3662, 波音737, 莫斯科, 2024-12-02 14:05, 成都, 2024-12-02 21:38, 7004, 54
俄罗斯航空, SU4326, 空客A330, 莫斯科, 2024-12-02 08:08, 昆明, 2024-12-02 16:21, 7622, 17
俄罗斯航空, SU9458, 空客A350, 莫斯科, 2024-12-02 08:26, 成都, 2024-12-02 15:59, 7004, 85
俄罗斯航空, SU6063, 波音787, 莫斯科, 2024-12-02 07:56, 昆明, 2024-12-02 16:09, 7622, 162
俄罗斯航空, SU1404, 波音787, 莫斯科, 2024-12-02 00:00, 悉尼, 2024-12-02 14:53, 13802, 170
俄罗斯航空, SU8134, 空客A330, 莫斯科, 2024-12-02 01:51, 南宁, 2024-12-02 10:51, 8343, 159
俄罗斯航空, SU3053, 波音787, 莫斯科, 2024-12-02 04:28, 昆明, 2024-12-02 12:41, 7622, 76
俄罗斯航空, SU7936, 空客A320, 莫斯科, 2024-12-02 08:55, 上海, 2024-12-02 16:35, 7107, 145
俄罗斯航空, SU7372, 空客A320, 莫斯科, 2024-12-02 21:37, 柏林, 2024-12-02 23:23, 1648, 177
俄罗斯航空, SU4664, 波音737, 莫斯科, 2024-12-02 14:01, 北京, 2024-12-02 20:27, 5974, 132
俄罗斯航空, SU8918, 空客A330, 莫斯科, 2024-12-02 10:36, 广州, 2024-12-02 19:22, 8137, 3
俄罗斯航空, SU4065, 空客A320, 莫斯科, 2024-12-02 16:44, 伦敦, 2024-12-02 19:30, 2575, 20
俄罗斯航空, SU4600, 空客A330, 莫斯科, 2024-12-02 03:21, 成都, 2024-12-02 10:54, 7004, 113
俄罗斯航空, SU5869, 空客A320, 莫斯科, 2024-12-02 12:50, 首尔, 2024-12-02 20:10, 6798, 95
俄罗斯航空, SU6268, 空客A320, 莫斯科, 2024-12-02 07:28, 成都, 2024-12-02 15:01, 7004, 3
俄罗斯航空, SU9634, 波音737, 莫斯科, 2024-12-02 13:32, 哈尔滨, 2024-12-02 19:18, 5356, 42
俄罗斯航空, SU7520, 波音737, 莫斯科, 2024-12-02 05:14, 曼谷, 2024-12-02 13:00, 7210, 193
俄罗斯航空, SU8320, 空客A350, 莫斯科, 2024-12-02 11:52, 东京, 2024-12-02 20:12, 7725, 196
俄罗斯航空, SU5028, 空客A350, 莫斯科, 2024-12-02 09:03, 广州, 2024-12-02 17:49, 8137, 65
俄罗斯航空, SU5724, 波音737, 莫斯科, 2024-12-02 06:22, 昆明, 2024-12-02 14:35, 7622, 33
俄罗斯航空, SU4204, 波音737, 莫斯科, 2024-12-02 19:35, 伦敦, 2024-12-02 22:21, 2575, 59
俄罗斯航空, SU7693, 波音787, 莫斯科, 2024-12-02 03:59, 悉尼, 2024-12-02 18:52, 13802, 41
俄罗斯航空, SU9168, 波音777, 莫斯科, 2024-12-02 06:17, 伦敦, 2024-12-02 09:03, 2575, 62
俄罗斯航空, SU7722, 波音777, 莫斯科, 2024-12-02 03:47, 乌鲁木齐, 2024-12-02 07:47, 3708, 100
俄罗斯航空, SU7558, 空客A330, 莫斯科, 2024-12-01 08:22, 柏林, 2024-12-01 10:08, 1648, 52
俄罗斯航空, SU6195, 空客A320, 莫斯科, 2024-12-01 18:47, 伦敦, 2024-12-01 21:33, 2575, 43
俄罗斯航空, SU5818, 空客A320, 莫斯科, 2024-12-01 02:24, 伦敦, 2024-12-01 05:10, 2575, 86
俄罗斯航空, SU4385, 空客A350, 莫斯科, 2024-12-01 21:33, 柏林, 2024-12-01 23:19, 1648, 183
俄罗斯航空, SU2845, 波音777, 莫斯科, 2024-12-01 02:24, 伦敦, 2024-12-01 05:10, 2575, 189
俄罗斯航空, SU9815, 波音777, 莫斯科, 2024-12-01 12:01, 北京, 2024-12-01 18:27, 5974, 19
俄罗斯航空, SU2616, 波音787, 莫斯科, 2024-12-01 00:00, 悉尼, 2024-12-01 14:53, 13802, 132
俄罗斯航空, SU5064, 波音787, 莫斯科, 2024-12-01 09:46, 曼谷, 2024-12-01 17:32, 7210, 53
俄罗斯航空, SU1747, 波音777, 莫斯科, 2024-12-01 07:10, 广州, 2024-12-01 15:56, 8137, 16
俄罗斯航空, SU3950, 波音787, 莫斯科, 2024-12-01 02:06, 合肥, 2024-12-01 09:19, 6695, 17
俄罗斯航空, SU9620, 空客A350, 莫斯科, 2024-12-01 05:28, 悉尼, 2024-12-01 20:21, 13802, 130
俄罗斯航空, SU5087, 波音777, 莫斯科, 2024-12-01 14:27, 成都, 2024-12-01 22:00, 7004, 147
俄罗斯航空, SU4625, 波音777, 莫斯科, 2024-12-01 05:06, 上海, 2024-12-01 12:46, 7107, 191
俄罗斯航空, SU5305, 空客A350, 莫斯科, 2024-12-01 12:23, 首尔, 2024-12-01 19:43, 6798, 45
俄罗斯航空, SU7803, 空客A320, 莫斯科, 2024-12-01 10:26, 巴黎, 2024-12-01 13:12, 2575, 194
俄罗斯航空, SU2356, 波音737, 莫斯科, 2024-12-01 08:23, 南宁, 2024-12-01 17:23, 8343, 177
俄罗斯航空, SU9353, 波音777, 莫斯科, 2024-12-01 08:03, 悉尼, 2024-12-01 22:56, 13802, 169
俄罗斯航空, SU4443, 波音777, 莫斯科, 2024-12-01 11:50, 合肥, 2024-12-01 19:03, 6695, 67
中国国际航空, CA7660, 波音787, 呼和浩特, 2024-12-02 17:18, 合肥, 2024-12-02 18:51, 1442, 197
中国国际航空, CA6387, 空客A330, 呼和浩特, 2024-12-02 03:59, 昆明, 2024-12-02 06:25, 2266, 140
中国国际航空, CA5275, 波音777, 呼和浩特, 2024-12-02 01:56, 首尔, 2024-12-02 03:29, 1442, 176
中国国际航空, CA4746, 波音737, 呼和浩特, 2024-12-02 20:14, 广州, 2024-12-02 23:00, 2575, 6
中国国际航空, CA3509, 波音777, 呼和浩特, 2024-12-02 03:13, 伦敦, 2024-12-02 11:53, 8034, 162
中国国际航空, CA8928, 波音777, 呼和浩特, 2024-12-02 06:27, 柏林, 2024-12-02 14:20, 7313, 111
中国国际航空, CA5398, 波音737, 呼和浩特, 2024-12-02 02:14, 柏林, 2024-12-02 10:07, 7313, 49
中国国际航空, CA5845, 波音787, 呼和浩特, 2024-12-02 02:09, 巴黎, 2024-12-02 11:02, 8240, 55
中国国际航空, CA6427, 波音777, 呼和浩特, 2024-12-02 08:55, 北京, 2024-12-02 09:25, 463.5, 64
中国国际航空, CA5114, 波音737, 呼和浩特, 2024-12-02 18:42, 上海, 2024-12-02 20:22, 1545, 44
中国国际航空, CA3922, 波音787, 呼和浩特, 2024-12-02 17:20, 首尔, 2024-12-02 18:53, 1442, 44
中国国际航空, CA2224, 空客A350, 呼和浩特, 2024-12-02 01:48, 柏林, 2024-12-02 09:41, 7313, 53
中国国际航空, CA1674, 空客A320, 呼和浩特, 2024-12-02 10:15, 巴黎, 2024-12-02 19:08, 8240, 184
中国国际航空, CA8942, 波音737, 呼和浩特, 2024-12-02 00:08, 伦敦, 2024-12-02 08:48, 8034, 67
中国国际航空, CA7178, 波音737, 呼和浩特, 2024-12-02 20:03, 北京, 2024-12-02 20:33, 463.5, 179
中国国际航空, CA4190, 波音777, 呼和浩特, 2024-12-02 01:25, 巴黎, 2024-12-02 10:18, 8240, 29
中国国际航空, CA4571, 波音787, 呼和浩特, 2024-12-02 01:59, 西安, 2024-12-02 02:49, 772.5, 57
中国国际航空, CA8299, 空客A330, 呼和浩特, 2024-12-02 02:33, 东京, 2024-12-02 05:19, 2575, 185
中国国际航空, CA1202, 波音737, 呼和浩特, 2024-12-02 05:12, 柏林, 2024-12-02 13:05, 7313, 120
中国国际航空, CA6343, 空客A320, 呼和浩特, 2024-12-02 17:32, 乌鲁木齐, 2024-12-02 19:32, 1854, 147
中国国际航空, CA6722, 波音777, 呼和浩特, 2024-12-01 18:33, 哈尔滨, 2024-12-01 19:59, 1339, 149
中国国际航空, CA7482, 波音737, 呼和浩特, 2024-12-01 07:45, 昆明, 2024-12-01 10:11, 2266, 197
中国国际航空, CA2078, 空客A320, 呼和浩特, 2024-12-01 08:29, 上海, 2024-12-01 10:09, 1545, 130
中国国际航空, CA9839, 波音787, 呼和浩特, 2024-12-01 05:52, 曼谷, 2024-12-01 09:58, 3811, 138
中国国际航空, CA7673, 空客A350, 呼和浩特, 2024-12-01 04:19, 南宁, 2024-12-01 07:19, 2781, 32
中国国际航空, CA4487, 空客A320, 呼和浩特, 2024-12-01 01:54, 悉尼, 2024-12-01 12:14, 9579, 62
中国国际航空, CA4134, 空客A330, 呼和浩特, 2024-12-01 02:32, 柏林, 2024-12-01 10:25, 7313, 116
中国国际航空, CA3034, 波音737, 呼和浩特, 2024-12-01 10:21, 悉尼, 2024-12-01 20:41, 9579, 163
中国国际航空, CA8939, 空客A330, 呼和浩特, 2024-12-01 09:36, 洛杉矶, 2024-12-01 20:16, 9888, 160
中国国际航空, CA6061, 空客A350, 呼和浩特, 2024-12-01 10:06, 洛杉矶, 2024-12-01 20:46, 9888, 153
中国国际航空, CA2818, 空客A320, 呼和浩特, 2024-12-01 12:06, 昆明, 2024-12-01 14:32, 2266, 27
中国国际航空, CA1479, 空客A320, 呼和浩特, 2024-12-01 17:52, 昆明, 2024-12-01 20:18, 2266, 23
中国国际航空, CA7988, 空客A350, 呼和浩特, 2024-12-01 14:55, 昆明, 2024-12-01 17:21, 2266, 62
中国国际航空, CA5991, 波音787, 呼和浩特, 2024-12-01 07:05, 广州, 2024-12-01 09:51, 2575, 176
中国国际航空, CA1317, 空客A350, 呼和浩特, 2024-12-01 07:02, 柏林, 2024-12-01 14:55, 7313, 52
中国国际航空, CA3953, 波音777, 呼和浩特, 2024-12-01 13:41, 拉萨, 2024-12-01 15:47, 1957, 166
中国国际航空, CA5200, 波音777, 呼和浩特, 2024-12-01 03:53, 洛杉矶, 2024-12-01 14:33, 9888, 33
中国国际航空, CA9150, 波音777, 呼和浩特, 2024-12-01 09:30, 首尔, 2024-12-01 11:03, 1442, 152
中国国际航空, CA9490, 空客A330, 呼和浩特, 2024-12-01 06:35, 纽约, 2024-12-01 18:21, 10918, 39
中国国际航空, CA5261, 波音777, 呼和浩特, 2024-12-01 09:52, 莫斯科, 2024-12-01 15:52, 5562, 103
中国国际航空, CA1558, 空客A330, 呼和浩特, 2024-12-01 13:53, 昆明, 2024-12-01 16:19, 2266, 44
泰国航空, TG3944, 空客A320, 曼谷, 2024-12-02 17:00, 乌鲁木齐, 2024-12-02 23:06, 5665, 29
泰国航空, TG4838, 波音777, 曼谷, 2024-12-02 04:46, 呼和浩特, 2024-12-02 08:52, 3811, 5
泰国航空, TG1123, 空客A320, 曼谷, 2024-12-02 09:33, 莫斯科, 2024-12-02 17:19, 7210, 179
泰国航空, TG2927, 波音737, 曼谷, 2024-12-02 03:03, 哈尔滨, 2024-12-02 07:56, 4532, 125
泰国航空, TG1500, 空客A350, 曼谷, 2024-12-02 04:15, 柏林, 2024-12-02 14:08, 9167, 25
泰国航空, TG2140, 波音787, 曼谷, 2024-12-02 13:31, 柏林, 2024-12-02 23:24, 9167, 77
泰国航空, TG3872, 波音777, 曼谷, 2024-12-02 00:50, 纽约, 2024-12-02 16:10, 14214, 140
泰国航空, TG7163, 波音737, 曼谷, 2024-12-02 13:06, 柏林, 2024-12-02 22:59, 9167, 189
泰国航空, TG4504, 波音777, 曼谷, 2024-12-02 11:54, 柏林, 2024-12-02 21:47, 9167, 149
泰国航空, TG2379, 空客A320, 曼谷, 2024-12-02 21:16, 广州, 2024-12-02 22:56, 1545, 121
泰国航空, TG5365, 波音787, 曼谷, 2024-12-02 09:16, 巴黎, 2024-12-02 20:09, 10094, 153
泰国航空, TG1714, 波音787, 曼谷, 2024-12-02 10:52, 合肥, 2024-12-02 13:58, 2884, 25
泰国航空, TG3801, 波音737, 曼谷, 2024-12-02 15:53, 北京, 2024-12-02 19:33, 3399, 54
泰国航空, TG9924, 空客A350, 曼谷, 2024-12-02 06:18, 哈尔滨, 2024-12-02 11:11, 4532, 87
泰国航空, TG5245, 波音787, 曼谷, 2024-12-02 11:57, 伦敦, 2024-12-02 22:30, 9785, 59
泰国航空, TG3474, 波音787, 曼谷, 2024-12-02 15:57, 合肥, 2024-12-02 19:03, 2884, 44
泰国航空, TG6827, 波音777, 曼谷, 2024-12-02 13:57, 柏林, 2024-12-02 23:50, 9167, 135
泰国航空, TG9682, 波音777, 曼谷, 2024-12-02 00:36, 南宁, 2024-12-02 01:42, 1030, 124
泰国航空, TG7912, 波音737, 曼谷, 2024-12-01 12:18, 伦敦, 2024-12-01 22:51, 9785, 51
泰国航空, TG1056, 空客A350, 曼谷, 2024-12-01 12:38, 首尔, 2024-12-01 16:44, 3811, 155
泰国航空, TG7008, 波音737, 曼谷, 2024-12-01 00:33, 洛杉矶, 2024-12-01 15:13, 13596, 98
泰国航空, TG1971, 波音787, 曼谷, 2024-12-01 09:44, 巴黎, 2024-12-01 20:37, 10094, 40
泰国航空, TG9039, 波音787, 曼谷, 2024-12-01 07:34, 昆明, 2024-12-01 08:40, 1030, 184
泰国航空, TG4307, 波音737, 曼谷, 2024-12-01 19:01, 广州, 2024-12-01 20:41, 1545, 73
泰国航空, TG6723, 波音737, 曼谷, 2024-12-01 06:00, 乌鲁木齐, 2024-12-01 12:06, 5665, 153
泰国航空, TG1735, 波音737, 曼谷, 2024-12-01 10:46, 合肥, 2024-12-01 13:52, 2884, 129
泰国航空, TG9523, 波音737, 曼谷, 2024-12-01 00:50, 东京, 2024-12-01 05:50, 4635, 48
泰国航空, TG7298, 空客A350, 曼谷, 2024-12-01 16:50, 广州, 2024-12-01 18:30, 1545, 160
泰国航空, TG5360, 波音787, 曼谷, 2024-12-01 06:12, 洛杉矶, 2024-12-01 20:52, 13596, 126
泰国航空, TG3757, 波音777, 曼谷, 2024-12-01 13:37, 北京, 2024-12-01 17:17, 3399, 94
泰国航空, TG6324, 空客A320, 曼谷, 2024-12-01 09:57, 悉尼, 2024-12-01 18:17, 7725, 136
泰国航空, TG6029, 波音737, 曼谷, 2024-12-01 11:16, 巴黎, 2024-12-01 22:09, 10094, 103
泰国航空, TG6834, 空客A350, 曼谷, 2024-12-01 02:09, 纽约, 2024-12-01 17:29, 14214, 119
泰国航空, TG7812, 空客A320, 曼谷, 2024-12-01 09:49, 北京, 2024-12-01 13:29, 3399, 3
泰国航空, TG7609, 空客A350, 曼谷, 2024-12-01 01:00, 悉尼, 2024-12-01 09:20, 7725, 46
泰国航空, TG8103, 波音737, 曼谷, 2024-12-01 18:51, 东京, 2024-12-01 23:51, 4635, 127
泰国航空, TG3401, 波音737, 曼谷, 2024-12-01 12:28, 广州, 2024-12-01 14:08, 1545, 164
泰国航空, TG4511, 波音777, 曼谷, 2024-12-01 10:30, 柏林, 2024-12-01 20:23, 9167, 87
泰国航空, TG2153, 空客A350, 曼谷, 2024-12-01 15:49, 哈尔滨, 2024-12-01 20:42, 4532, 30
泰国航空, TG3642, 空客A320, 曼谷, 2024-12-01 06:20, 昆明, 2024-12-01 07:26, 1030, 122
泰国航空, TG6772, 波音737, 曼谷, 2024-12-01 03:16, 纽约, 2024-12-01 18:36, 14214, 67
中国国际航空, CA3117, 空客A330, 拉萨, 2024-12-02 09:43, 北京, 2024-12-02 12:09, 2266, 46
南方航空, CZ6405, 波音777, 拉萨, 2024-12-02 18:20, 上海, 2024-12-02 21:46, 3193, 156
南方航空, CZ4016, 波音777, 拉萨, 2024-12-02 16:57, 首尔, 2024-12-02 20:17, 3090, 187
中国国际航空, CA7496, 波音777, 拉萨, 2024-12-02 20:18, 广州, 2024-12-02 22:51, 2369, 29
南方航空, CZ5074, 波音777, 拉萨, 2024-12-02 16:26, 莫斯科, 2024-12-02 22:06, 5253, 15
南方航空, CZ3414, 波音737, 拉萨, 2024-12-02 05:27, 北京, 2024-12-02 07:53, 2266, 22
中国国际航空, CA7354, 波音737, 拉萨, 2024-12-02 18:44, 南宁, 2024-12-02 20:57, 2060, 6
中国国际航空, CA1123, 波音777, 拉萨, 2024-12-02 11:30, 莫斯科, 2024-12-02 17:10, 5253, 93
南方航空, CZ3219, 波音787, 拉萨, 2024-12-02 02:33, 巴黎, 2024-12-02 11:06, 7931, 158
中国国际航空, CA3177, 空客A350, 拉萨, 2024-12-02 09:57, 广州, 2024-12-02 12:30, 2369, 186
南方航空, CZ4520, 空客A320, 拉萨, 2024-12-02 15:02, 哈尔滨, 2024-12-02 18:42, 3399, 151
南方航空, CZ1972, 空客A330, 拉萨, 2024-12-02 01:19, 上海, 2024-12-02 04:45, 3193, 41
南方航空, CZ7038, 空客A330, 拉萨, 2024-12-02 06:17, 上海, 2024-12-02 09:43, 3193, 50
中国国际航空, CA2677, 空客A320, 拉萨, 2024-12-02 13:13, 昆明, 2024-12-02 14:39, 1339, 62
南方航空, CZ3911, 空客A350, 拉萨, 2024-12-02 19:36, 曼谷, 2024-12-02 22:22, 2575, 169
中国国际航空, CA2741, 空客A350, 拉萨, 2024-12-02 03:00, 南宁, 2024-12-02 05:13, 2060, 173
南方航空, CZ2982, 波音787, 拉萨, 2024-12-02 01:28, 成都, 2024-12-02 02:48, 1236, 71
南方航空, CZ2510, 波音777, 拉萨, 2024-12-02 06:19, 成都, 2024-12-02 07:39, 1236, 123
中国国际航空, CA2442, 空客A330, 拉萨, 2024-12-02 07:40, 莫斯科, 2024-12-02 13:20, 5253, 71
南方航空, CZ1768, 空客A350, 拉萨, 2024-12-02 10:32, 洛杉矶, 2024-12-02 21:58, 10609, 147
中国国际航空, CA7852, 空客A350, 拉萨, 2024-12-02 01:26, 北京, 2024-12-02 03:52, 2266, 76
南方航空, CZ8047, 空客A320, 拉萨, 2024-12-02 04:17, 合肥, 2024-12-02 07:23, 2884, 145
南方航空, CZ2435, 空客A330, 拉萨, 2024-12-02 14:05, 呼和浩特, 2024-12-02 16:11, 1957, 116
南方航空, CZ6129, 波音777, 拉萨, 2024-12-02 03:55, 伦敦, 2024-12-02 12:15, 7725, 47
中国国际航空, CA5982, 空客A320, 拉萨, 2024-12-01 11:06, 广州, 2024-12-01 13:39, 2369, 71
南方航空, CZ6682, 空客A320, 拉萨, 2024-12-01 00:21, 曼谷, 2024-12-01 03:07, 2575, 26
中国国际航空, CA1332, 空客A350, 拉萨, 2024-12-01 15:08, 莫斯科, 2024-12-01 20:48, 5253, 108
南方航空, CZ2515, 空客A330, 拉萨, 2024-12-01 00:08, 纽约, 2024-12-01 12:41, 11639, 140
南方航空, CZ1798, 空客A350, 拉萨, 2024-12-01 12:43, 上海, 2024-12-01 16:09, 3193, 121
