中国国际航空, CA5032, 乌鲁木齐, 2024-11-01 03:39, 昆明, 2024-11-01 06:25, 2575, 78
中国国际航空, CA9705, 北京, 2024-11-01 04:14, 纽约, 2024-11-01 16:27, 11330, 146
中国国际航空, CA8024, 北京, 2024-11-01 08:19, 拉萨, 2024-11-01 10:45, 2266, 71
中国国际航空, CA4024, 北京, 2024-11-01 12:58, 伦敦, 2024-11-01 22:04, 8446, 61
中国国际航空, CA1769, 北京, 2024-11-01 08:18, 哈尔滨, 2024-11-01 09:31, 1133, 3
中国国际航空, CA9812, 北京, 2024-11-01 04:52, 呼和浩特, 2024-11-01 05:22, 463.5, 76
中国国际航空, CA1756, 北京, 2024-11-01 18:58, 乌鲁木齐, 2024-11-01 21:24, 2266, 125
中国国际航空, CA7266, 北京, 2024-11-01 14:38, 哈尔滨, 2024-11-01 15:51, 1133, 68
中国国际航空, CA1308, 北京, 2024-11-01 11:03, 莫斯科, 2024-11-01 17:29, 5974, 16
中国国际航空, CA1951, 北京, 2024-11-01 04:46, 南宁, 2024-11-01 06:52, 1957, 195
中国国际航空, CA5898, 北京, 2024-11-01 02:00, 纽约, 2024-11-01 14:13, 11330, 106
中国国际航空, CA8195, 北京, 2024-11-01 13:22, 昆明, 2024-11-01 15:35, 2060, 55
中国国际航空, CA7429, 北京, 2024-11-01 06:10, 昆明, 2024-11-01 08:23, 2060, 128
中国国际航空, CA6662, 北京, 2024-11-01 17:35, 呼和浩特, 2024-11-01 18:05, 463.5, 187
中国国际航空, CA2796, 北京, 2024-11-01 11:35, 巴黎, 2024-11-01 20:15, 8034, 190
中国国际航空, CA6352, 北京, 2024-11-01 05:09, 南宁, 2024-11-01 07:15, 1957, 104
中国国际航空, CA2415, 北京, 2024-11-01 13:19, 广州, 2024-11-01 15:39, 2163, 14
中国国际航空, CA1525, 北京, 2024-11-01 15:44, 悉尼, 2024-11-01 22:57, 6695, 106
中国国际航空, CA7225, 北京, 2024-11-01 11:54, 成都, 2024-11-01 13:40, 1648, 48
中国国际航空, CA7931, 北京, 2024-11-01 05:24, 乌鲁木齐, 2024-11-01 07:50, 2266, 56
中国国际航空, CA8855, 北京, 2024-11-01 10:07, 伦敦, 2024-11-01 19:13, 8446, 190
中国国际航空, CA6593, 哈尔滨, 2024-11-01 11:59, 拉萨, 2024-11-01 16:05, 3811, 118
中国国际航空, CA5169, 哈尔滨, 2024-11-01 13:36, 巴黎, 2024-11-01 22:29, 8240, 49
中国国际航空, CA7583, 哈尔滨, 2024-11-01 08:49, 巴黎, 2024-11-01 17:42, 8240, 197
中国国际航空, CA2454, 哈尔滨, 2024-11-01 06:03, 纽约, 2024-11-01 18:16, 11330, 141
中国国际航空, CA7900, 哈尔滨, 2024-11-01 04:09, 纽约, 2024-11-01 16:22, 11330, 144
中国国际航空, CA4807, 哈尔滨, 2024-11-01 12:39, 巴黎, 2024-11-01 21:32, 8240, 161
中国国际航空, CA1849, 哈尔滨, 2024-11-01 17:54, 上海, 2024-11-01 20:07, 2060, 177
中国国际航空, CA9862, 哈尔滨, 2024-11-01 06:19, 上海, 2024-11-01 08:32, 2060, 105
中国国际航空, CA7424, 哈尔滨, 2024-11-01 20:46, 呼和浩特, 2024-11-01 21:39, 824, 35
中国国际航空, CA2018, 哈尔滨, 2024-11-01 01:19, 拉萨, 2024-11-01 05:25, 3811, 174
中国国际航空, CA2553, 哈尔滨, 2024-11-01 09:00, 悉尼, 2024-11-01 22:20, 12360, 160
中国国际航空, CA2926, 哈尔滨, 2024-11-01 01:13, 纽约, 2024-11-01 13:26, 11330, 24
中国国际航空, CA8280, 哈尔滨, 2024-11-01 15:47, 北京, 2024-11-01 17:00, 1133, 74
中国国际航空, CA1420, 哈尔滨, 2024-11-01 04:54, 伦敦, 2024-11-01 13:47, 8240, 15
中国国际航空, CA4140, 哈尔滨, 2024-11-01 05:31, 成都, 2024-11-01 07:44, 2060, 187
南方航空, CZ6296, 广州, 2024-11-01 07:16, 巴黎, 2024-11-01 17:16, 9270, 77
南方航空, CZ3825, 广州, 2024-11-01 00:44, 昆明, 2024-11-01 01:24, 618, 119
南方航空, CZ8649, 广州, 2024-11-01 13:24, 东京, 2024-11-01 16:44, 3090, 143
南方航空, CZ4097, 广州, 2024-11-01 07:24, 北京, 2024-11-01 09:44, 2163, 100
南方航空, CZ9527, 广州, 2024-11-01 02:54, 呼和浩特, 2024-11-01 05:07, 2060, 147
南方航空, CZ8567, 广州, 2024-11-01 11:24, 巴黎, 2024-11-01 21:24, 9270, 160
南方航空, CZ8632, 广州, 2024-11-01 10:09, 拉萨, 2024-11-01 13:29, 3090, 135
南方航空, CZ9538, 广州, 2024-11-01 10:17, 伦敦, 2024-11-01 20:50, 9785, 181
南方航空, CZ8096, 广州, 2024-11-01 01:40, 成都, 2024-11-01 03:00, 1236, 127
南方航空, CZ5334, 广州, 2024-11-01 12:55, 乌鲁木齐, 2024-11-01 16:15, 3090, 119
南方航空, CZ9206, 广州, 2024-11-01 06:00, 呼和浩特, 2024-11-01 08:13, 2060, 110
南方航空, CZ8637, 广州, 2024-11-01 10:17, 伦敦, 2024-11-01 20:50, 9785, 167
南方航空, CZ8104, 广州, 2024-11-01 05:51, 乌鲁木齐, 2024-11-01 09:11, 3090, 66
澳大利亚航空, QF4515, 悉尼, 2024-11-01 10:22, 北京, 2024-11-01 17:35, 6695, 175
澳大利亚航空, QF1528, 悉尼, 2024-11-01 07:37, 上海, 2024-11-01 15:57, 7725, 92
澳大利亚航空, QF8020, 悉尼, 2024-11-01 00:05, 昆明, 2024-11-01 09:31, 8755, 46
澳大利亚航空, QF2703, 悉尼, 2024-11-01 08:29, 广州, 2024-11-01 17:09, 8034, 19
澳大利亚航空, QF8114, 悉尼, 2024-11-01 08:52, 南宁, 2024-11-01 18:18, 8755, 93
澳大利亚航空, QF2004, 悉尼, 2024-11-01 00:05, 成都, 2024-11-01 09:11, 8446, 9
澳大利亚航空, QF2362, 悉尼, 2024-11-01 11:10, 南宁, 2024-11-01 20:36, 8755, 24
澳大利亚航空, QF3130, 悉尼, 2024-11-01 09:58, 北京, 2024-11-01 17:11, 6695, 99
澳大利亚航空, QF7219, 悉尼, 2024-11-01 06:43, 哈尔滨, 2024-11-01 20:03, 12360, 25
澳大利亚航空, QF3470, 悉尼, 2024-11-01 07:21, 乌鲁木齐, 2024-11-01 14:34, 6695, 93
澳大利亚航空, QF4457, 悉尼, 2024-11-01 13:23, 广州, 2024-11-01 22:03, 8034, 114
澳大利亚航空, QF1930, 悉尼, 2024-11-01 05:44, 拉萨, 2024-11-01 15:44, 9270, 188
澳大利亚航空, QF6033, 悉尼, 2024-11-01 00:22, 纽约, 2024-11-01 18:08, 16480, 33
中国国际航空, CA5751, 南宁, 2024-11-01 16:00, 拉萨, 2024-11-01 19:53, 3605, 168
中国国际航空, CA2929, 南宁, 2024-11-01 12:45, 巴黎, 2024-11-01 22:45, 9270, 159
中国国际航空, CA3741, 南宁, 2024-11-01 22:34, 成都, 2024-11-01 23:40, 1030, 184
中国国际航空, CA5394, 南宁, 2024-11-01 05:25, 悉尼, 2024-11-01 14:51, 8755, 66
中国国际航空, CA1975, 南宁, 2024-11-01 02:42, 纽约, 2024-11-01 17:08, 13390, 186
中国国际航空, CA1569, 南宁, 2024-11-01 21:18, 呼和浩特, 2024-11-01 23:38, 2163, 171
中国国际航空, CA2549, 南宁, 2024-11-01 06:40, 伦敦, 2024-11-01 17:13, 9785, 184
中国国际航空, CA5979, 南宁, 2024-11-01 06:37, 哈尔滨, 2024-11-01 09:30, 2678, 192
中国国际航空, CA3350, 南宁, 2024-11-01 04:53, 莫斯科, 2024-11-01 13:46, 8240, 79
中国国际航空, CA8616, 南宁, 2024-11-01 19:54, 东京, 2024-11-01 23:14, 3090, 51
中国国际航空, CA1572, 南宁, 2024-11-01 06:36, 悉尼, 2024-11-01 16:02, 8755, 67
中国国际航空, CA3884, 南宁, 2024-11-01 00:25, 拉萨, 2024-11-01 04:18, 3605, 109
中国国际航空, CA9874, 南宁, 2024-11-01 07:44, 拉萨, 2024-11-01 11:37, 3605, 43
中国国际航空, CA8451, 南宁, 2024-11-01 07:34, 昆明, 2024-11-01 08:54, 1236, 200
中国国际航空, CA2809, 南宁, 2024-11-01 00:28, 成都, 2024-11-01 01:34, 1030, 36
中国国际航空, CA9410, 南宁, 2024-11-01 00:57, 东京, 2024-11-01 04:17, 3090, 17
中国国际航空, CA9437, 南宁, 2024-11-01 11:12, 呼和浩特, 2024-11-01 13:32, 2163, 99
中国国际航空, CA9522, 南宁, 2024-11-01 00:28, 北京, 2024-11-01 02:34, 1957, 118
南方航空, CZ1926, 伦敦, 2024-11-01 22:42, 巴黎, 2024-11-01 23:12, 463.5, 72
南方航空, CZ1595, 伦敦, 2024-11-01 02:56, 广州, 2024-11-01 13:29, 9785, 126
南方航空, CZ7316, 伦敦, 2024-11-01 06:53, 拉萨, 2024-11-01 16:53, 9270, 199
南方航空, CZ6133, 伦敦, 2024-11-01 07:34, 东京, 2024-11-01 18:07, 9785, 169
南方航空, CZ5548, 伦敦, 2024-11-01 01:42, 悉尼, 2024-11-01 20:35, 17510, 172
南方航空, CZ5337, 伦敦, 2024-11-01 09:19, 拉萨, 2024-11-01 19:19, 9270, 54
南方航空, CZ9969, 伦敦, 2024-11-01 10:45, 广州, 2024-11-01 21:18, 9785, 112
南方航空, CZ8777, 伦敦, 2024-11-01 04:19, 纽约, 2024-11-01 10:32, 5768, 169
南方航空, CZ2917, 伦敦, 2024-11-01 05:27, 成都, 2024-11-01 14:20, 8240, 42
南方航空, CZ9003, 伦敦, 2024-11-01 02:38, 莫斯科, 2024-11-01 05:24, 2575, 173
南方航空, CZ8380, 伦敦, 2024-11-01 14:36, 纽约, 2024-11-01 20:49, 5768, 29
南方航空, CZ6389, 伦敦, 2024-11-01 05:41, 昆明, 2024-11-01 16:14, 9785, 4
南方航空, CZ2235, 伦敦, 2024-11-01 02:52, 昆明, 2024-11-01 13:25, 9785, 72
南方航空, CZ6280, 伦敦, 2024-11-01 05:19, 北京, 2024-11-01 14:25, 8446, 45
南方航空, CZ2576, 伦敦, 2024-11-01 01:06, 悉尼, 2024-11-01 19:59, 17510, 200
全日空, XX4295, 东京, 2024-11-01 02:37, 悉尼, 2024-11-01 11:30, 8240, 24
全日空, XX6366, 东京, 2024-11-01 19:15, 广州, 2024-11-01 22:35, 3090, 69
全日空, XX4323, 东京, 2024-11-01 04:08, 呼和浩特, 2024-11-01 06:28, 2163, 57
全日空, XX7631, 东京, 2024-11-01 06:39, 北京, 2024-11-01 09:05, 2266, 39
全日空, XX8682, 东京, 2024-11-01 03:33, 伦敦, 2024-11-01 14:06, 9785, 26
全日空, XX9486, 东京, 2024-11-01 16:26, 南宁, 2024-11-01 19:46, 3090, 103
全日空, XX1432, 东京, 2024-11-01 05:31, 呼和浩特, 2024-11-01 07:51, 2163, 124
全日空, XX7661, 东京, 2024-11-01 19:21, 哈尔滨, 2024-11-01 21:41, 2163, 119
全日空, XX8915, 东京, 2024-11-01 07:33, 北京, 2024-11-01 09:59, 2266, 36
全日空, XX6906, 东京, 2024-11-01 14:12, 北京, 2024-11-01 16:38, 2266, 165
全日空, XX1523, 东京, 2024-11-01 05:07, 莫斯科, 2024-11-01 14:00, 8240, 59
全日空, XX5263, 东京, 2024-11-01 02:52, 拉萨, 2024-11-01 06:12, 3090, 0
全日空, XX4074, 东京, 2024-11-01 20:36, 昆明, 2024-11-01 23:56, 3090, 129
全日空, XX3868, 东京, 2024-11-01 07:02, 上海, 2024-11-01 09:15, 2060, 158
全日空, XX2828, 东京, 2024-11-01 08:20, 巴黎, 2024-11-01 18:20, 9270, 51
全日空, XX8491, 东京, 2024-11-01 18:51, 乌鲁木齐, 2024-11-01 22:11, 3090, 121
全日空, XX6539, 东京, 2024-11-01 14:24, 呼和浩特, 2024-11-01 16:44, 2163, 191
中国国际航空, CA1261, 上海, 2024-11-01 15:01, 南宁, 2024-11-01 17:14, 2060, 78
中国国际航空, CA4895, 上海, 2024-11-01 21:35, 昆明, 2024-11-01 23:48, 2060, 18
中国国际航空, CA5651, 上海, 2024-11-01 07:45, 巴黎, 2024-11-01 17:45, 9270, 108
中国国际航空, CA5239, 上海, 2024-11-01 14:38, 呼和浩特, 2024-11-01 16:24, 1648, 35
中国国际航空, CA4535, 上海, 2024-11-01 05:03, 莫斯科, 2024-11-01 13:56, 8240, 78
中国国际航空, CA1327, 上海, 2024-11-01 15:36, 乌鲁木齐, 2024-11-01 20:02, 4120, 62
中国国际航空, CA8998, 上海, 2024-11-01 07:55, 莫斯科, 2024-11-01 16:48, 8240, 158
中国国际航空, CA8675, 上海, 2024-11-01 09:59, 伦敦, 2024-11-01 20:32, 9785, 0
中国国际航空, CA3382, 上海, 2024-11-01 03:24, 广州, 2024-11-01 04:44, 1236, 176
中国国际航空, CA8874, 上海, 2024-11-01 10:19, 悉尼, 2024-11-01 18:39, 7725, 78
中国国际航空, CA8031, 上海, 2024-11-01 00:14, 纽约, 2024-11-01 14:40, 13390, 100
中国国际航空, CA8968, 成都, 2024-11-01 18:42, 乌鲁木齐, 2024-11-01 22:02, 3090, 130
中国国际航空, CA1633, 成都, 2024-11-01 04:56, 东京, 2024-11-01 08:16, 3090, 58
中国国际航空, CA1836, 成都, 2024-11-01 04:39, 巴黎, 2024-11-01 14:39, 9270, 156
中国国际航空, CA7896, 成都, 2024-11-01 11:53, 乌鲁木齐, 2024-11-01 15:13, 3090, 161
中国国际航空, CA7813, 成都, 2024-11-01 13:49, 南宁, 2024-11-01 14:55, 1030, 160
中国国际航空, CA6001, 成都, 2024-11-01 00:52, 广州, 2024-11-01 02:12, 1236, 0
中国国际航空, CA1245, 成都, 2024-11-01 13:40, 伦敦, 2024-11-01 22:33, 8240, 180
中国国际航空, CA4482, 成都, 2024-11-01 19:36, 哈尔滨, 2024-11-01 21:49, 2060, 90
中国国际航空, CA7868, 成都, 2024-11-01 10:47, 北京, 2024-11-01 12:33, 1648, 196
中国国际航空, CA7483, 成都, 2024-11-01 10:47, 广州, 2024-11-01 12:07, 1236, 84
中国国际航空, CA2608, 成都, 2024-11-01 16:43, 上海, 2024-11-01 18:29, 1648, 160
中国国际航空, CA5496, 成都, 2024-11-01 07:12, 北京, 2024-11-01 08:58, 1648, 102
中国国际航空, CA3330, 成都, 2024-11-01 15:20, 东京, 2024-11-01 18:40, 3090, 67
中国国际航空, CA5310, 成都, 2024-11-01 07:29, 巴黎, 2024-11-01 17:29, 9270, 78
中国国际航空, CA8509, 成都, 2024-11-01 16:59, 东京, 2024-11-01 20:19, 3090, 126
中国国际航空, CA5290, 成都, 2024-11-01 14:07, 乌鲁木齐, 2024-11-01 17:27, 3090, 82
中国国际航空, CA8690, 成都, 2024-11-01 12:00, 悉尼, 2024-11-01 21:06, 8446, 85
中国国际航空, CA3813, 成都, 2024-11-01 00:48, 东京, 2024-11-01 04:08, 3090, 167
南方航空, CZ6793, 纽约, 2024-11-01 10:51, 呼和浩特, 2024-11-01 23:04, 11330, 143
南方航空, CZ8930, 纽约, 2024-11-01 00:43, 拉萨, 2024-11-01 15:09, 13390, 152
南方航空, CZ6435, 纽约, 2024-11-01 06:56, 拉萨, 2024-11-01 21:22, 13390, 148
南方航空, CZ4830, 纽约, 2024-11-01 02:49, 哈尔滨, 2024-11-01 15:02, 11330, 23
南方航空, CZ7411, 纽约, 2024-11-01 02:27, 成都, 2024-11-01 16:53, 13390, 152
南方航空, CZ7877, 纽约, 2024-11-01 08:36, 广州, 2024-11-01 23:02, 13390, 64
南方航空, CZ9768, 纽约, 2024-11-01 10:05, 哈尔滨, 2024-11-01 22:18, 11330, 99
南方航空, CZ8146, 纽约, 2024-11-01 04:08, 呼和浩特, 2024-11-01 16:21, 11330, 90
南方航空, CZ1097, 纽约, 2024-11-01 07:31, 广州, 2024-11-01 21:57, 13390, 102
南方航空, CZ6225, 纽约, 2024-11-01 04:57, 北京, 2024-11-01 17:10, 11330, 146
南方航空, CZ1236, 纽约, 2024-11-01 05:03, 悉尼, 2024-11-01 22:49, 16480, 102
南方航空, CZ4954, 纽约, 2024-11-01 09:48, 乌鲁木齐, 2024-11-01 22:01, 11330, 39
南方航空, CZ1429, 纽约, 2024-11-01 11:50, 东京, 2024-11-01 23:50, 11124, 4
南方航空, CZ6668, 纽约, 2024-11-01 03:21, 上海, 2024-11-01 17:47, 13390, 70
南方航空, CZ3725, 纽约, 2024-11-01 01:03, 广州, 2024-11-01 15:29, 13390, 84
南方航空, CZ7299, 纽约, 2024-11-01 04:19, 哈尔滨, 2024-11-01 16:32, 11330, 181
南方航空, CZ1640, 纽约, 2024-11-01 04:35, 上海, 2024-11-01 19:01, 13390, 1
南方航空, CZ3560, 纽约, 2024-11-01 08:47, 北京, 2024-11-01 21:00, 11330, 108
南方航空, CZ9341, 纽约, 2024-11-01 04:14, 南宁, 2024-11-01 18:40, 13390, 37
南方航空, CZ6993, 纽约, 2024-11-01 11:20, 北京, 2024-11-01 23:33, 11330, 187
南方航空, CZ3962, 纽约, 2024-11-01 00:47, 悉尼, 2024-11-01 18:33, 16480, 45
南方航空, CZ6269, 纽约, 2024-11-01 16:41, 巴黎, 2024-11-01 23:07, 5974, 27
南方航空, CZ4265, 纽约, 2024-11-01 10:55, 北京, 2024-11-01 23:08, 11330, 196
南方航空, CZ6447, 纽约, 2024-11-01 12:32, 莫斯科, 2024-11-01 21:05, 7931, 37
南方航空, CZ2334, 纽约, 2024-11-01 05:30, 拉萨, 2024-11-01 19:56, 13390, 174
南方航空, CZ1285, 纽约, 2024-11-01 05:16, 拉萨, 2024-11-01 19:42, 13390, 36
中国国际航空, CA7279, 呼和浩特, 2024-11-01 06:57, 纽约, 2024-11-01 19:10, 11330, 56
中国国际航空, CA6947, 呼和浩特, 2024-11-01 05:15, 哈尔滨, 2024-11-01 06:08, 824, 133
中国国际航空, CA4931, 呼和浩特, 2024-11-01 18:37, 广州, 2024-11-01 20:50, 2060, 121
中国国际航空, CA5026, 呼和浩特, 2024-11-01 07:34, 南宁, 2024-11-01 09:54, 2163, 135
中国国际航空, CA6177, 呼和浩特, 2024-11-01 15:20, 哈尔滨, 2024-11-01 16:13, 824, 58
中国国际航空, CA8055, 呼和浩特, 2024-11-01 03:08, 哈尔滨, 2024-11-01 04:01, 824, 33
中国国际航空, CA8596, 呼和浩特, 2024-11-01 03:36, 哈尔滨, 2024-11-01 04:29, 824, 84
中国国际航空, CA3205, 呼和浩特, 2024-11-01 04:28, 巴黎, 2024-11-01 13:21, 8240, 86
中国国际航空, CA4282, 呼和浩特, 2024-11-01 12:17, 北京, 2024-11-01 12:47, 463.5, 185
中国国际航空, CA2239, 呼和浩特, 2024-11-01 19:21, 乌鲁木齐, 2024-11-01 20:41, 1236, 137
中国国际航空, CA3181, 呼和浩特, 2024-11-01 01:38, 昆明, 2024-11-01 03:18, 1545, 55
中国国际航空, CA7155, 呼和浩特, 2024-11-01 06:29, 成都, 2024-11-01 07:49, 1236, 25
中国国际航空, CA4386, 呼和浩特, 2024-11-01 06:26, 广州, 2024-11-01 08:39, 2060, 155
中国国际航空, CA9179, 呼和浩特, 2024-11-01 07:45, 上海, 2024-11-01 09:31, 1648, 104
中国国际航空, CA3094, 呼和浩特, 2024-11-01 02:57, 广州, 2024-11-01 05:10, 2060, 23
澳大利亚航空, QF9610, 巴黎, 2024-11-01 00:17, 东京, 2024-11-01 10:17, 9270, 36
澳大利亚航空, QF9568, 巴黎, 2024-11-01 07:17, 上海, 2024-11-01 17:17, 9270, 120
澳大利亚航空, QF7791, 巴黎, 2024-11-01 09:52, 乌鲁木齐, 2024-11-01 18:45, 8240, 179
澳大利亚航空, QF7379, 巴黎, 2024-11-01 00:23, 哈尔滨, 2024-11-01 09:16, 8240, 154
澳大利亚航空, QF7561, 巴黎, 2024-11-01 08:46, 成都, 2024-11-01 18:46, 9270, 195
澳大利亚航空, QF7073, 巴黎, 2024-11-01 16:26, 伦敦, 2024-11-01 16:56, 463.5, 191
澳大利亚航空, QF3187, 巴黎, 2024-11-01 02:27, 悉尼, 2024-11-01 21:20, 17510, 63
澳大利亚航空, QF3560, 巴黎, 2024-11-01 14:30, 哈尔滨, 2024-11-01 23:23, 8240, 133
澳大利亚航空, QF1927, 巴黎, 2024-11-01 18:38, 伦敦, 2024-11-01 19:08, 463.5, 2
澳大利亚航空, QF9453, 巴黎, 2024-11-01 01:12, 北京, 2024-11-01 09:52, 8034, 174
澳大利亚航空, QF6146, 巴黎, 2024-11-01 06:23, 伦敦, 2024-11-01 06:53, 463.5, 87
澳大利亚航空, QF5602, 巴黎, 2024-11-01 13:09, 拉萨, 2024-11-01 23:09, 9270, 47
澳大利亚航空, QF9770, 巴黎, 2024-11-01 07:04, 南宁, 2024-11-01 17:04, 9270, 3
达美航空, DL5892, 拉萨, 2024-11-01 08:33, 莫斯科, 2024-11-01 17:26, 8240, 56
达美航空, DL8215, 拉萨, 2024-11-01 19:37, 乌鲁木齐, 2024-11-01 21:50, 2060, 165
达美航空, DL6135, 拉萨, 2024-11-01 01:15, 乌鲁木齐, 2024-11-01 03:28, 2060, 50
达美航空, DL8142, 拉萨, 2024-11-01 12:57, 南宁, 2024-11-01 16:50, 3605, 171
达美航空, DL8298, 拉萨, 2024-11-01 16:42, 东京, 2024-11-01 20:02, 3090, 142
达美航空, DL3887, 拉萨, 2024-11-01 11:18, 悉尼, 2024-11-01 21:18, 9270, 187
达美航空, DL1784, 拉萨, 2024-11-01 04:57, 昆明, 2024-11-01 05:50, 824, 81
达美航空, DL6206, 拉萨, 2024-11-01 06:56, 上海, 2024-11-01 10:16, 3090, 64
达美航空, DL7918, 拉萨, 2024-11-01 19:18, 乌鲁木齐, 2024-11-01 21:31, 2060, 151
达美航空, DL9432, 拉萨, 2024-11-01 00:50, 成都, 2024-11-01 01:30, 618, 37
达美航空, DL2992, 拉萨, 2024-11-01 12:29, 昆明, 2024-11-01 13:22, 824, 111
达美航空, DL3076, 拉萨, 2024-11-01 05:14, 伦敦, 2024-11-01 15:14, 9270, 84
达美航空, DL1810, 拉萨, 2024-11-01 17:48, 成都, 2024-11-01 18:28, 618, 95
达美航空, DL6276, 拉萨, 2024-11-01 17:54, 呼和浩特, 2024-11-01 21:14, 3090, 28
达美航空, DL3125, 拉萨, 2024-11-01 18:43, 呼和浩特, 2024-11-01 22:03, 3090, 84
达美航空, DL2087, 拉萨, 2024-11-01 06:59, 巴黎, 2024-11-01 16:59, 9270, 77
达美航空, DL2452, 拉萨, 2024-11-01 18:03, 南宁, 2024-11-01 21:56, 3605, 134
达美航空, DL2986, 拉萨, 2024-11-01 05:55, 莫斯科, 2024-11-01 14:48, 8240, 169
俄罗斯航空, XX5086, 莫斯科, 2024-11-01 08:16, 伦敦, 2024-11-01 11:02, 2575, 120
俄罗斯航空, XX4182, 莫斯科, 2024-11-01 12:15, 纽约, 2024-11-01 20:48, 7931, 130
