中国国际航空, CA5824, 北京, 2024-10-01 22:02, 哈尔滨, 2024-10-02 02:25, 1353, 39
东方航空, MU5993, 广州, 2024-10-01 06:36, 拉萨, 2024-10-01 09:31, 482, 75
厦门航空, MF1293, 拉萨, 2024-10-01 05:34, 南宁, 2024-10-01 09:48, 455, 10
南方航空, CZ2353, 昆明, 2024-10-01 14:58, 广州, 2024-10-01 17:21, 669, 57
山东航空, SC9957, 上海, 2024-10-01 04:56, 呼和浩特, 2024-10-01 08:58, 1151, 42
南方航空, CZ2346, 南宁, 2024-10-01 04:51, 乌鲁木齐, 2024-10-01 10:35, 793, 16
东方航空, MU7826, 南宁, 2024-10-01 10:35, 哈尔滨, 2024-10-01 14:24, 680, 33
南方航空, CZ1222, 昆明, 2024-10-01 07:56, 南宁, 2024-10-01 10:40, 599, 19
南方航空, CZ3979, 拉萨, 2024-10-01 08:02, 北京, 2024-10-01 12:58, 1295, 44
中国国际航空, CA5579, 南宁, 2024-10-01 21:25, 呼和浩特, 2024-10-02 02:39, 1349, 89
中国国际航空, CA4803, 呼和浩特, 2024-10-01 23:37, 哈尔滨, 2024-10-02 01:46, 1373, 27
厦门航空, MF9289, 成都, 2024-10-01 23:03, 北京, 2024-10-02 03:09, 1026, 84
山东航空, SC6902, 南宁, 2024-10-01 15:46, 呼和浩特, 2024-10-01 19:23, 1499, 48
东方航空, MU4735, 成都, 2024-10-01 14:06, 北京, 2024-10-01 19:53, 1119, 97
南方航空, CZ7438, 广州, 2024-10-01 22:55, 北京, 2024-10-02 01:55, 848, 14
厦门航空, MF6896, 哈尔滨, 2024-10-01 21:10, 呼和浩特, 2024-10-02 03:04, 929, 16
山东航空, SC1412, 乌鲁木齐, 2024-10-01 18:07, 上海, 2024-10-01 23:46, 948, 56
东方航空, MU1571, 呼和浩特, 2024-10-01 19:41, 北京, 2024-10-01 22:36, 898, 51
中国国际航空, CA9341, 广州, 2024-10-01 03:36, 南宁, 2024-10-01 07:40, 1140, 84
南方航空, CZ4844, 乌鲁木齐, 2024-10-01 17:50, 昆明, 2024-10-01 20:53, 955, 91
山东航空, SC3318, 上海, 2024-10-01 19:08, 呼和浩特, 2024-10-02 00:08, 837, 20
山东航空, SC7716, 南宁, 2024-10-01 13:29, 乌鲁木齐, 2024-10-01 15:44, 432, 81
中国国际航空, CA8427, 拉萨, 2024-10-01 14:23, 南宁, 2024-10-01 16:51, 1309, 76
南方航空, CZ6623, 北京, 2024-10-01 22:28, 拉萨, 2024-10-02 00:30, 899, 21
南方航空, CZ9755, 拉萨, 2024-10-01 13:35, 上海, 2024-10-01 17:52, 915, 30
厦门航空, MF7312, 昆明, 2024-10-01 13:25, 广州, 2024-10-01 17:17, 909, 86
东方航空, MU3824, 广州, 2024-10-01 04:31, 上海, 2024-10-01 07:58, 957, 26
南方航空, CZ7000, 乌鲁木齐, 2024-10-01 18:56, 上海, 2024-10-01 22:58, 972, 15
南方航空, CZ7210, 南宁, 2024-10-01 11:01, 上海, 2024-10-01 14:29, 1078, 39
厦门航空, MF8506, 昆明, 2024-10-01 09:00, 北京, 2024-10-01 14:42, 771, 86
山东航空, SC7822, 昆明, 2024-10-01 22:38, 广州, 2024-10-02 01:39, 426, 92
山东航空, SC6333, 上海, 2024-10-01 02:15, 哈尔滨, 2024-10-01 04:35, 1470, 56
东方航空, MU3407, 北京, 2024-10-01 19:13, 昆明, 2024-10-01 21:46, 1197, 14
中国国际航空, CA7327, 乌鲁木齐, 2024-10-01 17:11, 广州, 2024-10-01 22:51, 1342, 72
山东航空, SC2507, 上海, 2024-10-01 01:01, 哈尔滨, 2024-10-01 03:14, 1090, 56
厦门航空, MF4423, 成都, 2024-10-01 15:18, 北京, 2024-10-01 17:21, 1317, 20
山东航空, SC7460, 呼和浩特, 2024-10-01 01:21, 广州, 2024-10-01 05:42, 1017, 10
厦门航空, MF2319, 成都, 2024-10-01 19:04, 上海, 2024-10-02 00:25, 1106, 73
南方航空, CZ1299, 成都, 2024-10-01 19:11, 拉萨, 2024-10-02 00:56, 1159, 46
厦门航空, MF9267, 北京, 2024-10-01 16:51, 南宁, 2024-10-01 21:17, 1270, 93
山东航空, SC8377, 呼和浩特, 2024-10-01 18:32, 北京, 2024-10-01 22:27, 468, 93
山东航空, SC1464, 哈尔滨, 2024-10-01 07:34, 南宁, 2024-10-01 12:13, 1085, 39
山东航空, SC1974, 昆明, 2024-10-01 17:43, 拉萨, 2024-10-01 21:58, 849, 75
东方航空, MU6902, 昆明, 2024-10-01 18:25, 北京, 2024-10-01 23:05, 538, 77
山东航空, SC6460, 上海, 2024-10-01 03:54, 北京, 2024-10-01 09:41, 869, 27
中国国际航空, CA7658, 成都, 2024-10-01 12:50, 呼和浩特, 2024-10-01 15:33, 1490, 13
东方航空, MU4608, 乌鲁木齐, 2024-10-01 09:47, 呼和浩特, 2024-10-01 12:17, 1151, 80
东方航空, MU9454, 北京, 2024-10-01 15:43, 拉萨, 2024-10-01 19:03, 894, 78
南方航空, CZ9622, 成都, 2024-10-01 21:51, 呼和浩特, 2024-10-02 01:48, 1216, 90
山东航空, SC6057, 成都, 2024-10-01 15:40, 北京, 2024-10-01 19:29, 715, 59
中国国际航空, CA9359, 拉萨, 2024-10-01 17:18, 广州, 2024-10-01 20:21, 988, 24
中国国际航空, CA1490, 拉萨, 2024-10-01 07:28, 昆明, 2024-10-01 13:13, 1139, 67
山东航空, SC4461, 上海, 2024-10-01 10:12, 哈尔滨, 2024-10-01 12:18, 1246, 57
山东航空, SC3071, 昆明, 2024-10-01 19:13, 广州, 2024-10-01 23:26, 991, 46
南方航空, CZ2672, 昆明, 2024-10-01 22:21, 广州, 2024-10-02 03:33, 1475, 88
山东航空, SC6658, 拉萨, 2024-10-01 20:01, 昆明, 2024-10-02 01:17, 640, 80
山东航空, SC1807, 成都, 2024-10-01 08:13, 拉萨, 2024-10-01 12:21, 570, 64
中国国际航空, CA2878, 哈尔滨, 2024-10-01 09:39, 北京, 2024-10-01 15:03, 1094, 59
山东航空, SC4886, 北京, 2024-10-01 09:21, 哈尔滨, 2024-10-01 14:00, 930, 89
中国国际航空, CA7693, 乌鲁木齐, 2024-10-01 08:22, 成都, 2024-10-01 11:30, 1209, 95
东方航空, MU2026, 广州, 2024-10-01 22:53, 成都, 2024-10-02 04:51, 1386, 41
厦门航空, MF9244, 南宁, 2024-10-01 21:05, 昆明, 2024-10-02 02:08, 873, 63
南方航空, CZ3235, 上海, 2024-10-01 17:09, 广州, 2024-10-01 19:17, 763, 20
东方航空, MU7079, 哈尔滨, 2024-10-01 08:50, 昆明, 2024-10-01 11:30, 801, 64
厦门航空, MF4681, 南宁, 2024-10-01 16:34, 上海, 2024-10-01 21:56, 954, 89
山东航空, SC6107, 北京, 2024-10-01 17:13, 成都, 2024-10-01 20:04, 1347, 34
东方航空, MU7971, 广州, 2024-10-01 06:37, 南宁, 2024-10-01 11:44, 960, 69
中国国际航空, CA5339, 哈尔滨, 2024-10-01 21:37, 拉萨, 2024-10-02 02:15, 552, 63
山东航空, SC4022, 南宁, 2024-10-01 14:49, 呼和浩特, 2024-10-01 19:17, 568, 25
山东航空, SC4499, 北京, 2024-10-01 19:54, 拉萨, 2024-10-02 00:42, 481, 93
山东航空, SC1718, 昆明, 2024-10-01 16:40, 南宁, 2024-10-01 22:13, 1192, 12
东方航空, MU7367, 广州, 2024-10-01 03:38, 乌鲁木齐, 2024-10-01 06:54, 1022, 74
山东航空, SC7640, 广州, 2024-10-01 19:03, 昆明, 2024-10-02 00:13, 1410, 85
中国国际航空, CA6224, 上海, 2024-10-01 01:09, 乌鲁木齐, 2024-10-01 03:58, 883, 82
东方航空, MU5801, 成都, 2024-10-01 14:56, 拉萨, 2024-10-01 19:51, 1095, 90
东方航空, MU4112, 广州, 2024-10-01 00:50, 呼和浩特, 2024-10-01 03:09, 1245, 81
中国国际航空, CA7579, 广州, 2024-10-01 07:10, 成都, 2024-10-01 11:45, 527, 79
中国国际航空, CA4197, 北京, 2024-10-01 17:34, 呼和浩特, 2024-10-01 23:08, 1381, 77
厦门航空, MF2936, 广州, 2024-10-01 05:10, 北京, 2024-10-01 07:31, 865, 62
中国国际航空, CA2568, 拉萨, 2024-10-01 10:44, 乌鲁木齐, 2024-10-01 16:36, 531, 80
东方航空, MU2658, 呼和浩特, 2024-10-01 11:27, 哈尔滨, 2024-10-01 15:52, 1215, 73
东方航空, MU7967, 广州, 2024-10-01 07:36, 昆明, 2024-10-01 12:22, 1177, 98
东方航空, MU8915, 北京, 2024-10-01 12:51, 广州, 2024-10-01 15:10, 945, 31
厦门航空, MF7165, 广州, 2024-10-01 04:10, 乌鲁木齐, 2024-10-01 06:25, 681, 45
南方航空, CZ2160, 昆明, 2024-10-01 22:23, 上海, 2024-10-02 03:35, 759, 74
中国国际航空, CA2293, 上海, 2024-10-01 20:25, 拉萨, 2024-10-01 23:11, 635, 32
南方航空, CZ4554, 成都, 2024-10-01 07:59, 呼和浩特, 2024-10-01 13:14, 793, 56
东方航空, MU7723, 成都, 2024-10-01 16:52, 拉萨, 2024-10-01 21:48, 722, 84
东方航空, MU2623, 哈尔滨, 2024-10-01 00:56, 昆明, 2024-10-01 04:13, 1178, 55
东方航空, MU3229, 广州, 2024-10-01 03:45, 北京, 2024-10-01 06:03, 922, 89
南方航空, CZ9531, 成都, 2024-10-01 22:49, 上海, 2024-10-02 03:41, 1227, 35
东方航空, MU7413, 南宁, 2024-10-01 08:34, 呼和浩特, 2024-10-01 13:36, 1029, 94
东方航空, MU5271, 南宁, 2024-10-01 04:23, 广州, 2024-10-01 06:48, 1055, 59
山东航空, SC5237, 北京, 2024-10-01 06:14, 呼和浩特, 2024-10-01 09:22, 1137, 95
山东航空, SC6992, 成都, 2024-10-01 10:04, 昆明, 2024-10-01 12:50, 1170, 55
东方航空, MU6536, 哈尔滨, 2024-10-01 12:00, 北京, 2024-10-01 17:56, 1070, 63
南方航空, CZ1175, 广州, 2024-10-01 13:34, 北京, 2024-10-01 16:55, 980, 90
中国国际航空, CA4425, 乌鲁木齐, 2024-10-01 15:38, 上海, 2024-10-01 20:27, 979, 25
东方航空, MU8859, 广州, 2024-10-01 15:47, 拉萨, 2024-10-01 20:00, 884, 42
东方航空, MU9921, 乌鲁木齐, 2024-10-01 15:54, 哈尔滨, 2024-10-01 19:40, 559, 17
山东航空, SC5190, 广州, 2024-10-01 18:33, 哈尔滨, 2024-10-01 22:28, 1374, 97
东方航空, MU6255, 成都, 2024-10-01 02:53, 南宁, 2024-10-01 05:04, 401, 10
厦门航空, MF3057, 乌鲁木齐, 2024-10-01 13:30, 拉萨, 2024-10-01 18:23, 970, 99
山东航空, SC1217, 广州, 2024-10-01 11:57, 北京, 2024-10-01 14:25, 1376, 15
厦门航空, MF3309, 南宁, 2024-10-01 10:56, 呼和浩特, 2024-10-01 15:38, 1273, 76
山东航空, SC5048, 成都, 2024-10-01 01:28, 呼和浩特, 2024-10-01 06:15, 418, 17
中国国际航空, CA7599, 呼和浩特, 2024-10-01 14:22, 哈尔滨, 2024-10-01 16:40, 768, 60
山东航空, SC2123, 昆明, 2024-10-01 19:20, 呼和浩特, 2024-10-01 22:19, 742, 33
东方航空, MU9826, 拉萨, 2024-10-01 01:58, 成都, 2024-10-01 05:32, 1394, 76
南方航空, CZ6993, 南宁, 2024-10-01 17:46, 北京, 2024-10-01 21:36, 998, 88
中国国际航空, CA1564, 哈尔滨, 2024-10-01 01:43, 成都, 2024-10-01 05:38, 929, 78
厦门航空, MF6826, 成都, 2024-10-01 17:21, 广州, 2024-10-01 22:02, 1218, 71
中国国际航空, CA6697, 成都, 2024-10-01 06:21, 昆明, 2024-10-01 11:00, 761, 54
南方航空, CZ5699, 哈尔滨, 2024-10-01 11:18, 乌鲁木齐, 2024-10-01 16:51, 581, 22
山东航空, SC8126, 拉萨, 2024-10-01 19:51, 广州, 2024-10-02 00:46, 789, 15
山东航空, SC4037, 上海, 2024-10-01 05:31, 呼和浩特, 2024-10-01 10:10, 914, 68
中国国际航空, CA7348, 南宁, 2024-10-01 21:14, 呼和浩特, 2024-10-02 00:33, 769, 62
山东航空, SC8545, 广州, 2024-10-01 16:24, 北京, 2024-10-01 22:06, 1446, 18
东方航空, MU9000, 南宁, 2024-10-01 21:53, 广州, 2024-10-02 03:31, 1339, 93
厦门航空, MF8999, 昆明, 2024-10-01 04:42, 乌鲁木齐, 2024-10-01 09:51, 548, 28
中国国际航空, CA7840, 拉萨, 2024-10-01 04:54, 哈尔滨, 2024-10-01 07:23, 1190, 50
东方航空, MU7145, 呼和浩特, 2024-10-01 21:08, 昆明, 2024-10-02 02:38, 752, 66
厦门航空, MF2790, 呼和浩特, 2024-10-01 17:58, 哈尔滨, 2024-10-01 20:03, 479, 47
