澳洲航空, QF3979, 空客A350, 东京, 2024-12-01 02:07, 巴黎, 2024-12-01 13:00, 10094.0, 54
海南航空, HU5507, 波音737, 西安, 2024-12-01 16:14, 曼谷, 2024-12-01 19:20, 2884.0, 99
法国航空, AF1920, 波音777, 巴黎, 2024-12-01 15:59, 乌鲁木齐, 2024-12-01 22:52, 6386.0, 69
全日空, NH8352, 波音777, 北京, 2024-12-01 08:50, 伦敦, 2024-12-01 17:56, 8446.0, 149
大韩航空, KE4958, 空客A350, 首尔, 2024-12-01 21:33, 哈尔滨, 2024-12-01 22:36, 978.5, 187
美联航, UA2042, 空客A330, 纽约, 2024-12-01 06:56, 广州, 2024-12-01 20:22, 12463.0, 48
美联航, UA2979, 空客A320, 东京, 2024-12-01 04:17, 合肥, 2024-12-01 06:43, 2266.0, 21
大韩航空, KE9464, 空客A330, 首尔, 2024-12-01 07:55, 洛杉矶, 2024-12-01 18:28, 9785.0, 105
美联航, UA6237, 波音787, 东京, 2024-12-01 10:12, 成都, 2024-12-01 13:38, 3193.0, 66
澳洲航空, QF6221, 波音777, 东京, 2024-12-01 15:35, 西安, 2024-12-01 18:28, 2678.0, 159
法国航空, AF1649, 波音777, 巴黎, 2024-12-01 07:45, 北京, 2024-12-01 17:05, 8652.0, 134
全日空, NH2122, 波音787, 上海, 2024-12-01 03:41, 乌鲁木齐, 2024-12-01 07:21, 3399.0, 80
英国航空, BA8947, 波音787, 伦敦, 2024-12-01 06:04, 成都, 2024-12-01 15:10, 8446.0, 161
法国航空, AF5336, 波音737, 巴黎, 2024-12-01 15:36, 乌鲁木齐, 2024-12-01 22:29, 6386.0, 23
澳洲航空, QF5082, 空客A320, 悉尼, 2024-12-01 09:23, 哈尔滨, 2024-12-01 19:56, 9785.0, 194
南方航空, CZ5727, 波音787, 昆明, 2024-12-01 19:50, 哈尔滨, 2024-12-01 23:10, 3090.0, 127
泰国航空, TG8769, 波音737, 曼谷, 2024-12-01 13:02, 南宁, 2024-12-01 14:08, 1030.0, 34
东方航空, MU8607, 波音787, 合肥, 2024-12-01 02:48, 成都, 2024-12-01 04:21, 1442.0, 122
美联航, UA5744, 空客A320, 纽约, 2024-12-01 11:30, 东京, 2024-12-01 23:36, 11227.0, 63
法国航空, AF4363, 空客A320, 巴黎, 2024-12-01 08:58, 合肥, 2024-12-01 18:58, 9270.0, 178
南方航空, CZ4414, 空客A330, 成都, 2024-12-01 08:22, 拉萨, 2024-12-01 09:42, 1236.0, 141
南方航空, CZ2697, 波音737, 昆明, 2024-12-01 11:06, 曼谷, 2024-12-01 12:12, 1030.0, 171
俄罗斯航空, SU9094, 波音787, 莫斯科, 2024-12-01 03:25, 首尔, 2024-12-01 10:45, 6798.0, 23
汉莎航空, LH2194, 波音777, 柏林, 2024-12-01 05:07, 首尔, 2024-12-01 14:13, 8446.0, 76
法国航空, AF3342, 波音737, 北京, 2024-12-01 02:48, 拉萨, 2024-12-01 05:14, 2266.0, 85
中国国际航空, CA3053, 空客A320, 哈尔滨, 2024-12-01 06:20, 悉尼, 2024-12-01 16:53, 9785.0, 158
南方航空, CZ3043, 空客A330, 乌鲁木齐, 2024-12-01 05:59, 洛杉矶, 2024-12-01 15:45, 9064.0, 121
法国航空, AF8728, 空客A330, 巴黎, 2024-12-01 03:53, 莫斯科, 2024-12-01 06:39, 2575.0, 97
法国航空, AF8997, 波音737, 东京, 2024-12-01 09:29, 哈尔滨, 2024-12-01 11:09, 1545.0, 196
南方航空, CZ1023, 波音777, 乌鲁木齐, 2024-12-01 06:25, 合肥, 2024-12-01 09:58, 3296.0, 96
南方航空, CZ9210, 空客A330, 南宁, 2024-12-01 11:05, 东京, 2024-12-01 14:45, 3399.0, 146
泰国航空, TG5196, 空客A320, 曼谷, 2024-12-01 03:26, 巴黎, 2024-12-01 14:19, 10094.0, 187
东方航空, MU6696, 波音787, 昆明, 2024-12-01 02:22, 伦敦, 2024-12-01 12:08, 9064.0, 156
澳洲航空, QF9063, 空客A320, 悉尼, 2024-12-01 04:43, 巴黎, 2024-12-01 23:16, 17201.0, 109
大韩航空, KE1615, 空客A320, 首尔, 2024-12-01 04:44, 拉萨, 2024-12-01 08:04, 3090.0, 81
东方航空, MU2161, 波音777, 合肥, 2024-12-01 05:59, 南宁, 2024-12-01 07:39, 1545.0, 2
泰国航空, TG6610, 空客A330, 曼谷, 2024-12-01 16:10, 乌鲁木齐, 2024-12-01 22:16, 5665.0, 61
南方航空, CZ4139, 空客A330, 乌鲁木齐, 2024-12-01 07:39, 纽约, 2024-12-01 18:32, 10094.0, 175
南方航空, CZ1834, 波音787, 南宁, 2024-12-01 17:18, 昆明, 2024-12-01 18:11, 824.0, 77
南方航空, CZ6449, 空客A350, 乌鲁木齐, 2024-12-01 10:04, 曼谷, 2024-12-01 16:10, 5665.0, 44
俄罗斯航空, SU5791, 空客A320, 莫斯科, 2024-12-01 07:38, 昆明, 2024-12-01 15:51, 7622.0, 166
澳洲航空, QF6715, 波音787, 悉尼, 2024-12-01 03:13, 东京, 2024-12-01 11:53, 8034.0, 26
美联航, UA8464, 空客A330, 洛杉矶, 2024-12-01 05:09, 北京, 2024-12-01 16:15, 10300.0, 160
中国国际航空, CA9039, 波音787, 呼和浩特, 2024-12-01 08:30, 北京, 2024-12-01 09:00, 463.5, 108
南方航空, CZ7054, 波音777, 成都, 2024-12-01 10:24, 洛杉矶, 2024-12-01 21:30, 10300.0, 185
美联航, UA6564, 空客A320, 纽约, 2024-12-01 04:33, 昆明, 2024-12-01 17:26, 11948.0, 46
东方航空, MU9811, 波音787, 合肥, 2024-12-01 15:40, 北京, 2024-12-01 16:46, 1030.0, 107
泰国航空, TG3545, 波音777, 曼谷, 2024-12-01 09:51, 北京, 2024-12-01 13:31, 3399.0, 176
东方航空, MU3732, 空客A350, 成都, 2024-12-01 19:27, 广州, 2024-12-01 21:00, 1442.0, 93
南方航空, CZ8291, 波音737, 乌鲁木齐, 2024-12-01 14:32, 上海, 2024-12-01 18:12, 3399.0, 5
美联航, UA4729, 波音787, 东京, 2024-12-01 10:37, 柏林, 2024-12-01 20:30, 9167.0, 50
澳洲航空, QF3439, 空客A330, 东京, 2024-12-01 01:16, 成都, 2024-12-01 04:42, 3193.0, 198
法国航空, AF5812, 波音787, 巴黎, 2024-12-01 19:08, 莫斯科, 2024-12-01 21:54, 2575.0, 14
东方航空, MU1402, 空客A320, 西安, 2024-12-01 01:40, 纽约, 2024-12-01 13:46, 11227.0, 153
南方航空, CZ1721, 空客A350, 乌鲁木齐, 2024-12-01 02:15, 东京, 2024-12-01 07:01, 4429.0, 53
美联航, UA1360, 波音737, 纽约, 2024-12-01 05:25, 成都, 2024-12-01 17:38, 11330.0, 75
法国航空, AF8875, 空客A350, 巴黎, 2024-12-01 05:02, 成都, 2024-12-01 14:22, 8652.0, 176
汉莎航空, LH8919, 空客A330, 柏林, 2024-12-01 09:41, 北京, 2024-12-01 18:01, 7725.0, 63
大韩航空, KE5606, 波音777, 广州, 2024-12-01 11:53, 曼谷, 2024-12-01 13:33, 1545.0, 45
英国航空, BA2078, 波音777, 东京, 2024-12-01 11:37, 广州, 2024-12-01 14:43, 2884.0, 97
南方航空, CZ6500, 波音737, 昆明, 2024-12-01 11:13, 哈尔滨, 2024-12-01 14:33, 3090.0, 8
汉莎航空, LH3272, 空客A330, 柏林, 2024-12-01 10:51, 纽约, 2024-12-01 18:11, 6798.0, 28
中国国际航空, CA9689, 波音787, 西安, 2024-12-01 08:56, 昆明, 2024-12-01 10:29, 1442.0, 11
全日空, NH5914, 空客A330, 广州, 2024-12-01 14:16, 西安, 2024-12-01 15:56, 1545.0, 182
中国国际航空, CA6048, 空客A330, 哈尔滨, 2024-12-01 14:00, 东京, 2024-12-01 15:40, 1545.0, 11
中国国际航空, CA8861, 波音777, 呼和浩特, 2024-12-01 09:05, 哈尔滨, 2024-12-01 10:31, 1339.0, 113
南方航空, CZ5159, 波音737, 乌鲁木齐, 2024-12-01 09:14, 首尔, 2024-12-01 12:47, 3296.0, 199
南方航空, CZ8613, 空客A320, 南宁, 2024-12-01 06:46, 东京, 2024-12-01 10:26, 3399.0, 183
法国航空, AF1112, 波音737, 东京, 2024-12-01 18:40, 西安, 2024-12-01 21:33, 2678.0, 87
东方航空, MU3506, 波音737, 上海, 2024-12-01 21:56, 北京, 2024-12-01 23:09, 1133.0, 160
美联航, UA9506, 波音787, 洛杉矶, 2024-12-01 04:10, 西安, 2024-12-01 15:10, 10197.0, 57
中国国际航空, CA5532, 空客A350, 成都, 2024-12-01 11:21, 巴黎, 2024-12-01 20:41, 8652.0, 135
东方航空, MU2100, 波音787, 合肥, 2024-12-01 17:06, 南宁, 2024-12-01 18:46, 1545.0, 57
东方航空, MU5099, 空客A350, 合肥, 2024-12-01 10:38, 乌鲁木齐, 2024-12-01 14:11, 3296.0, 193
英国航空, BA8232, 波音787, 伦敦, 2024-12-01 08:38, 乌鲁木齐, 2024-12-01 15:18, 6180.0, 155
南方航空, CZ4628, 波音787, 乌鲁木齐, 2024-12-01 19:39, 北京, 2024-12-01 22:05, 2266.0, 5
东方航空, MU9517, 空客A320, 南宁, 2024-12-01 05:17, 拉萨, 2024-12-01 07:30, 2060.0, 135
南方航空, CZ6747, 空客A320, 南宁, 2024-12-01 09:39, 洛杉矶, 2024-12-01 22:12, 11639.0, 183
澳洲航空, QF7697, 波音777, 悉尼, 2024-12-01 06:14, 东京, 2024-12-01 14:54, 8034.0, 116
俄罗斯航空, SU2951, 空客A320, 上海, 2024-12-01 15:26, 北京, 2024-12-01 16:39, 1133.0, 177
中国国际航空, CA8357, 空客A350, 成都, 2024-12-01 04:02, 哈尔滨, 2024-12-01 06:55, 2678.0, 7
东方航空, MU6205, 空客A330, 西安, 2024-12-01 02:29, 悉尼, 2024-12-01 11:55, 8755.0, 131
大韩航空, KE1645, 空客A320, 首尔, 2024-12-01 02:55, 伦敦, 2024-12-01 12:41, 9064.0, 103
俄罗斯航空, SU3582, 空客A350, 莫斯科, 2024-12-01 00:34, 首尔, 2024-12-01 07:54, 6798.0, 25
中国国际航空, CA1169, 空客A330, 上海, 2024-12-01 12:56, 昆明, 2024-12-01 15:02, 1957.0, 48
俄罗斯航空, SU8042, 波音737, 莫斯科, 2024-12-01 05:11, 合肥, 2024-12-01 12:24, 6695.0, 102
美联航, UA4934, 波音787, 纽约, 2024-12-01 08:46, 拉萨, 2024-12-01 21:19, 11639.0, 145
中国国际航空, CA3670, 波音777, 哈尔滨, 2024-12-01 09:27, 柏林, 2024-12-01 17:00, 7004.0, 197
法国航空, AF4172, 空客A320, 巴黎, 2024-12-01 09:31, 柏林, 2024-12-01 10:31, 927.0, 19
澳洲航空, QF4923, 空客A350, 悉尼, 2024-12-01 06:26, 上海, 2024-12-01 15:19, 8240.0, 111
英国航空, BA8359, 波音777, 伦敦, 2024-12-01 12:24, 广州, 2024-12-01 22:44, 9579.0, 89
海南航空, HU1716, 波音787, 广州, 2024-12-01 18:19, 拉萨, 2024-12-01 20:52, 2369.0, 172
泰国航空, TG1437, 空客A330, 北京, 2024-12-01 16:50, 首尔, 2024-12-01 17:53, 978.5, 130
南方航空, CZ2312, 波音787, 南宁, 2024-12-01 10:11, 成都, 2024-12-01 11:37, 1339.0, 50
法国航空, AF1663, 空客A350, 巴黎, 2024-12-01 04:30, 纽约, 2024-12-01 10:56, 5974.0, 192
东方航空, MU4168, 空客A320, 成都, 2024-12-01 16:09, 哈尔滨, 2024-12-01 19:02, 2678.0, 71
南方航空, CZ9381, 空客A320, 乌鲁木齐, 2024-12-01 07:58, 纽约, 2024-12-01 18:51, 10094.0, 60
南方航空, CZ7480, 波音787, 昆明, 2024-12-01 17:09, 成都, 2024-12-01 17:55, 721.0, 108
汉莎航空, LH5819, 空客A350, 柏林, 2024-12-01 13:48, 纽约, 2024-12-01 21:08, 6798.0, 160
南方航空, CZ9583, 空客A330, 昆明, 2024-12-01 14:28, 悉尼, 2024-12-01 22:14, 7210.0, 112
英国航空, BA4896, 空客A330, 伦敦, 2024-12-01 00:02, 南宁, 2024-12-01 10:35, 9785.0, 99
英国航空, BA4581, 波音777, 伦敦, 2024-12-01 04:13, 洛杉矶, 2024-12-01 13:59, 9064.0, 180
美联航, UA5386, 波音787, 洛杉矶, 2024-12-01 04:47, 合肥, 2024-12-01 16:33, 10918.0, 144
大韩航空, KE1134, 波音777, 首尔, 2024-12-01 03:22, 南宁, 2024-12-01 06:08, 2575.0, 72
美联航, UA6638, 空客A350, 纽约, 2024-12-01 05:54, 拉萨, 2024-12-01 18:27, 11639.0, 94
美联航, UA8579, 空客A320, 洛杉矶, 2024-12-01 12:12, 乌鲁木齐, 2024-12-01 21:58, 9064.0, 150
南方航空, CZ7216, 空客A330, 南宁, 2024-12-01 04:47, 首尔, 2024-12-01 07:33, 2575.0, 70
东方航空, MU6993, 空客A350, 西安, 2024-12-01 12:38, 莫斯科, 2024-12-01 20:04, 6901.0, 3
中国国际航空, CA1969, 波音787, 昆明, 2024-12-01 06:15, 广州, 2024-12-01 07:21, 1030.0, 73
东方航空, MU8953, 空客A330, 合肥, 2024-12-01 02:51, 柏林, 2024-12-01 11:51, 8343.0, 188
汉莎航空, LH9160, 波音787, 柏林, 2024-12-01 04:06, 悉尼, 2024-12-01 22:06, 16686.0, 123
中国国际航空, CA4174, 波音787, 呼和浩特, 2024-12-01 01:02, 莫斯科, 2024-12-01 07:02, 5562.0, 81
俄罗斯航空, SU2119, 空客A330, 莫斯科, 2024-12-01 07:26, 昆明, 2024-12-01 15:39, 7622.0, 35
大韩航空, KE4675, 空客A350, 首尔, 2024-12-01 00:46, 曼谷, 2024-12-01 04:52, 3811.0, 40
澳洲航空, QF8223, 波音787, 东京, 2024-12-01 07:07, 昆明, 2024-12-01 10:47, 3399.0, 61
中国国际航空, CA8151, 波音787, 呼和浩特, 2024-12-01 09:43, 巴黎, 2024-12-01 18:36, 8240.0, 126
海南航空, HU5870, 波音737, 成都, 2024-12-01 22:01, 广州, 2024-12-01 23:34, 1442.0, 145
泰国航空, TG9779, 空客A330, 曼谷, 2024-12-01 07:36, 柏林, 2024-12-01 17:29, 9167.0, 71
美联航, UA1186, 波音777, 纽约, 2024-12-01 08:09, 哈尔滨, 2024-12-01 19:35, 10609.0, 38
英国航空, BA5485, 空客A320, 伦敦, 2024-12-01 03:41, 东京, 2024-12-01 14:14, 9785.0, 14
俄罗斯航空, SU1415, 波音777, 莫斯科, 2024-12-01 00:42, 呼和浩特, 2024-12-01 06:42, 5562.0, 141
东方航空, MU1816, 波音777, 南宁, 2024-12-01 10:20, 莫斯科, 2024-12-01 19:20, 8343.0, 45
澳洲航空, QF3838, 波音737, 东京, 2024-12-01 01:55, 上海, 2024-12-01 03:55, 1854.0, 164
南方航空, CZ7688, 空客A320, 南宁, 2024-12-01 13:05, 西安, 2024-12-01 15:05, 1854.0, 169
美联航, UA2911, 波音787, 纽约, 2024-12-01 03:40, 首尔, 2024-12-01 15:53, 11330.0, 152
东方航空, MU3755, 空客A320, 广州, 2024-12-01 15:43, 呼和浩特, 2024-12-01 18:29, 2575.0, 83
东方航空, MU8675, 波音787, 合肥, 2024-12-01 04:23, 拉萨, 2024-12-01 07:29, 2884.0, 86
南方航空, CZ2520, 空客A330, 乌鲁木齐, 2024-12-01 05:35, 哈尔滨, 2024-12-01 09:15, 3399.0, 189
汉莎航空, LH8343, 波音787, 柏林, 2024-12-01 07:00, 南宁, 2024-12-01 16:46, 9064.0, 63
南方航空, CZ9762, 波音737, 南宁, 2024-12-01 02:46, 柏林, 2024-12-01 12:32, 9064.0, 18
美联航, UA8240, 波音737, 纽约, 2024-12-01 01:47, 乌鲁木齐, 2024-12-01 12:40, 10094.0, 189
中国国际航空, CA2998, 空客A330, 呼和浩特, 2024-12-01 09:52, 曼谷, 2024-12-01 13:58, 3811.0, 38
中国国际航空, CA4819, 空客A330, 呼和浩特, 2024-12-01 12:18, 乌鲁木齐, 2024-12-01 14:18, 1854.0, 128
海南航空, HU2799, 波音777, 成都, 2024-12-01 16:07, 曼谷, 2024-12-01 18:20, 2060.0, 148
汉莎航空, LH2465, 空客A350, 柏林, 2024-12-01 19:58, 莫斯科, 2024-12-01 21:44, 1648.0, 127
英国航空, BA4228, 空客A330, 伦敦, 2024-12-01 11:38, 南宁, 2024-12-01 22:11, 9785.0, 194
东方航空, MU3978, 空客A350, 南宁, 2024-12-01 05:24, 呼和浩特, 2024-12-01 08:24, 2781.0, 170
南方航空, CZ4377, 波音737, 成都, 2024-12-01 13:47, 哈尔滨, 2024-12-01 16:40, 2678.0, 15
南方航空, CZ8498, 空客A330, 南宁, 2024-12-01 03:59, 纽约, 2024-12-01 17:39, 12669.0, 71
美联航, UA5586, 空客A350, 洛杉矶, 2024-12-01 03:17, 悉尼, 2024-12-01 16:37, 12360.0, 62
澳洲航空, QF5408, 空客A330, 上海, 2024-12-01 04:07, 成都, 2024-12-01 06:00, 1751.0, 77
中国国际航空, CA1769, 波音737, 西安, 2024-12-01 05:59, 洛杉矶, 2024-12-01 16:59, 10197.0, 151
东方航空, MU1486, 空客A350, 合肥, 2024-12-01 20:11, 呼和浩特, 2024-12-01 21:44, 1442.0, 96
东方航空, MU9402, 波音777, 北京, 2024-12-01 05:47, 上海, 2024-12-01 07:00, 1133.0, 133
法国航空, AF6053, 波音777, 巴黎, 2024-12-01 08:17, 西安, 2024-12-01 17:30, 8549.0, 36
东方航空, MU8058, 空客A330, 南宁, 2024-12-01 07:22, 西安, 2024-12-01 09:22, 1854.0, 66
美联航, UA9636, 波音787, 洛杉矶, 2024-12-01 00:26, 首尔, 2024-12-01 10:59, 9785.0, 116
汉莎航空, LH6768, 波音737, 柏林, 2024-12-01 03:38, 广州, 2024-12-01 13:11, 8858.0, 48
美联航, UA3008, 空客A350, 洛杉矶, 2024-12-01 10:44, 巴黎, 2024-12-01 20:50, 9373.0, 137
美联航, UA2564, 空客A320, 洛杉矶, 2024-12-01 06:23, 东京, 2024-12-01 16:09, 9064.0, 43
南方航空, CZ5938, 波音777, 昆明, 2024-12-01 11:04, 南宁, 2024-12-01 11:57, 824.0, 52
东方航空, MU9012, 波音777, 合肥, 2024-12-01 20:30, 哈尔滨, 2024-12-01 22:50, 2163.0, 38
俄罗斯航空, SU4536, 波音737, 莫斯科, 2024-12-01 16:59, 北京, 2024-12-01 23:25, 5974.0, 181
东方航空, MU8669, 波音787, 广州, 2024-12-01 18:45, 首尔, 2024-12-01 20:58, 2060.0, 134
澳洲航空, QF7506, 空客A330, 东京, 2024-12-01 06:24, 南宁, 2024-12-01 10:04, 3399.0, 103
东方航空, MU6351, 波音737, 成都, 2024-12-01 00:04, 巴黎, 2024-12-01 09:24, 8652.0, 94
法国航空, AF8219, 空客A350, 巴黎, 2024-12-01 04:54, 西安, 2024-12-01 14:07, 8549.0, 88
美联航, UA2612, 空客A320, 纽约, 2024-12-01 06:29, 哈尔滨, 2024-12-01 17:55, 10609.0, 166
南方航空, CZ9200, 空客A320, 昆明, 2024-12-01 15:55, 东京, 2024-12-01 19:35, 3399.0, 27
泰国航空, TG8826, 空客A350, 曼谷, 2024-12-01 08:40, 上海, 2024-12-01 11:40, 2781.0, 173
东方航空, MU8041, 波音737, 成都, 2024-12-01 02:58, 洛杉矶, 2024-12-01 14:04, 10300.0, 196
澳洲航空, QF3212, 波音737, 悉尼, 2024-12-01 08:20, 拉萨, 2024-12-01 18:20, 9270.0, 137
汉莎航空, LH2196, 空客A350, 北京, 2024-12-01 14:30, 哈尔滨, 2024-12-01 15:43, 1133.0, 186
东方航空, MU9831, 空客A320, 合肥, 2024-12-01 07:43, 巴黎, 2024-12-01 17:43, 9270.0, 189
英国航空, BA9976, 波音737, 伦敦, 2024-12-01 00:07, 哈尔滨, 2024-12-01 08:27, 7725.0, 95
美联航, UA9250, 空客A330, 洛杉矶, 2024-12-01 02:53, 曼谷, 2024-12-01 17:33, 13596.0, 27
法国航空, AF2270, 空客A350, 巴黎, 2024-12-01 15:25, 乌鲁木齐, 2024-12-01 22:18, 6386.0, 107
美联航, UA8476, 空客A350, 洛杉矶, 2024-12-01 10:51, 西安, 2024-12-01 21:51, 10197.0, 141
汉莎航空, LH5642, 波音777, 柏林, 2024-12-01 07:05, 昆明, 2024-12-01 16:05, 8343.0, 62
美联航, UA1742, 波音787, 洛杉矶, 2024-12-01 04:00, 乌鲁木齐, 2024-12-01 13:46, 9064.0, 149
东方航空, MU9620, 波音737, 合肥, 2024-12-01 00:37, 昆明, 2024-12-01 02:23, 1648.0, 140
中国国际航空, CA2290, 空客A350, 昆明, 2024-12-01 00:50, 上海, 2024-12-01 02:56, 1957.0, 17
美联航, UA6126, 波音737, 纽约, 2024-12-01 05:27, 柏林, 2024-12-01 12:47, 6798.0, 30
法国航空, AF1185, 空客A320, 巴黎, 2024-12-01 11:40, 首尔, 2024-12-01 21:46, 9373.0, 110
南方航空, CZ1698, 空客A350, 北京, 2024-12-01 02:04, 纽约, 2024-12-01 14:17, 11330.0, 116
澳洲航空, QF2792, 波音777, 悉尼, 2024-12-01 13:33, 拉萨, 2024-12-01 23:33, 9270.0, 72
东方航空, MU5638, 波音787, 南宁, 2024-12-01 07:19, 合肥, 2024-12-01 08:59, 1545.0, 122
中国国际航空, CA6175, 波音777, 西安, 2024-12-01 08:17, 巴黎, 2024-12-01 17:30, 8549.0, 38
澳洲航空, QF5933, 波音787, 北京, 2024-12-01 05:07, 巴黎, 2024-12-01 14:27, 8652.0, 141
汉莎航空, LH5648, 波音777, 柏林, 2024-12-01 02:39, 昆明, 2024-12-01 11:39, 8343.0, 89
中国国际航空, CA3171, 波音737, 呼和浩特, 2024-12-01 05:55, 洛杉矶, 2024-12-01 16:35, 9888.0, 157
汉莎航空, LH2066, 波音737, 柏林, 2024-12-01 06:14, 曼谷, 2024-12-01 16:07, 9167.0, 174
大韩航空, KE6060, 空客A320, 首尔, 2024-12-01 00:38, 乌鲁木齐, 2024-12-01 04:11, 3296.0, 101
海南航空, HU1323, 空客A320, 成都, 2024-12-01 10:41, 莫斯科, 2024-12-01 18:14, 7004.0, 145
泰国航空, TG5820, 空客A350, 曼谷, 2024-12-01 13:44, 南宁, 2024-12-01 14:50, 1030.0, 100
东方航空, MU2141, 波音777, 南宁, 2024-12-01 11:37, 成都, 2024-12-01 13:03, 1339.0, 124
汉莎航空, LH6272, 波音737, 柏林, 2024-12-01 15:04, 呼和浩特, 2024-12-01 22:57, 7313.0, 117
东方航空, MU1790, 波音787, 南宁, 2024-12-01 06:51, 广州, 2024-12-01 07:24, 515.0, 148
大韩航空, KE2904, 波音777, 首尔, 2024-12-01 04:02, 北京, 2024-12-01 05:05, 978.5, 116
大韩航空, KE3997, 波音787, 首尔, 2024-12-01 10:07, 昆明, 2024-12-01 12:53, 2575.0, 132
东方航空, MU6934, 空客A330, 南宁, 2024-12-01 01:50, 北京, 2024-12-01 04:23, 2369.0, 63
英国航空, BA5236, 波音777, 北京, 2024-12-01 17:53, 哈尔滨, 2024-12-01 19:06, 1133.0, 55
大韩航空, KE7813, 波音787, 首尔, 2024-12-01 18:39, 成都, 2024-12-01 21:12, 2369.0, 37
中国国际航空, CA8184, 波音737, 哈尔滨, 2024-12-01 21:14, 东京, 2024-12-01 22:54, 1545.0, 154
海南航空, HU2383, 波音737, 西安, 2024-12-01 13:11, 伦敦, 2024-12-01 22:11, 8343.0, 65
泰国航空, TG6562, 波音737, 曼谷, 2024-12-01 03:41, 北京, 2024-12-01 07:21, 3399.0, 76
汉莎航空, LH9129, 波音777, 柏林, 2024-12-01 00:56, 昆明, 2024-12-01 09:56, 8343.0, 44
东方航空, MU5571, 空客A320, 南宁, 2024-12-01 10:41, 昆明, 2024-12-01 11:34, 824.0, 76
中国国际航空, CA8432, 波音777, 昆明, 2024-12-01 06:45, 拉萨, 2024-12-01 08:11, 1339.0, 174
东方航空, MU3353, 波音737, 合肥, 2024-12-01 22:30, 上海, 2024-12-01 22:56, 412.0, 184
澳洲航空, QF8403, 波音787, 上海, 2024-12-01 03:47, 合肥, 2024-12-01 04:13, 412.0, 15
法国航空, AF6403, 波音777, 巴黎, 2024-12-01 14:35, 拉萨, 2024-12-01 23:08, 7931.0, 22
法国航空, AF7709, 波音787, 巴黎, 2024-12-01 01:24, 首尔, 2024-12-01 11:30, 9373.0, 120
海南航空, HU3692, 空客A320, 西安, 2024-12-01 01:58, 柏林, 2024-12-01 10:11, 7622.0, 81
法国航空, AF4992, 空客A330, 巴黎, 2024-12-01 07:08, 上海, 2024-12-01 17:34, 9682.0, 17
南方航空, CZ6637, 波音787, 乌鲁木齐, 2024-12-01 16:53, 哈尔滨, 2024-12-01 20:33, 3399.0, 92
东方航空, MU4323, 波音737, 合肥, 2024-12-01 03:46, 柏林, 2024-12-01 12:46, 8343.0, 44
东方航空, MU7198, 波音777, 南宁, 2024-12-01 13:21, 伦敦, 2024-12-01 23:54, 9785.0, 48
全日空, NH1210, 波音787, 北京, 2024-12-01 10:38, 拉萨, 2024-12-01 13:04, 2266.0, 175
